domain_domain_interaction	count_new	frequency	domain_1	domain_2	domain1_description	domain2_description
empty--GCR	1	3.1675641431739e-05	empty	GCR	NA	Glucocorticoidreceptor
CTP_transf_like--GCV_T	1	3.1675641431739e-05	CTP_transf_like	GCV_T	Cytidylyltransferase-like	Aminomethyltransferasefolate-bindingdomain
CTP_transf_like--GCV_T_C	1	3.1675641431739e-05	CTP_transf_like	GCV_T_C	Cytidylyltransferase-like	GlycinecleavageT-proteinC-terminalbarreldomain
Activin_recp--GDA1_CD39	1	3.1675641431739e-05	Activin_recp	GDA1_CD39	ActivintypesIandIIreceptordomain	GDA1/CD39(nucleosidephosphatase)family
Aldedh--GDA1_CD39	1	3.1675641431739e-05	Aldedh	GDA1_CD39	Aldehydedehydrogenasefamily	GDA1/CD39(nucleosidephosphatase)family
BAG--GDA1_CD39	1	3.1675641431739e-05	BAG	GDA1_CD39	BAGdomain	GDA1/CD39(nucleosidephosphatase)family
EF-hand_5--GDA1_CD39	1	3.1675641431739e-05	EF-hand_5	GDA1_CD39	EFhand	GDA1/CD39(nucleosidephosphatase)family
EF-hand_8--GDA1_CD39	1	3.1675641431739e-05	EF-hand_8	GDA1_CD39	EF-handdomainpair	GDA1/CD39(nucleosidephosphatase)family
empty--GDA1_CD39	3	9.5026924295217e-05	empty	GDA1_CD39	NA	GDA1/CD39(nucleosidephosphatase)family
eIF2A--GDI	1	3.1675641431739e-05	eIF2A	GDI	EukaryotictranslationinitiationfactoreIF2A	GDPdissociationinhibitor
empty--GDI	4	0.000126702565726956	empty	GDI	NA	GDPdissociationinhibitor
empty--GDNF	8	0.000253405131453912	empty	GDNF	NA	GDNF/GAS1domain
Arrestin_N--GDPD	1	3.1675641431739e-05	Arrestin_N	GDPD	Arrestin(orS-antigen),N-terminaldomain	Glycerophosphoryldiesterphosphodiesterasefamily
BCAS3--GDPD	1	3.1675641431739e-05	BCAS3	GDPD	Breastcarcinomaamplifiedsequence3	Glycerophosphoryldiesterphosphodiesterasefamily
Choline_kinase--GDPD	1	3.1675641431739e-05	Choline_kinase	GDPD	Choline/ethanolaminekinase	Glycerophosphoryldiesterphosphodiesterasefamily
F-box-like--GDPD	1	3.1675641431739e-05	F-box-like	GDPD	F-box-like	Glycerophosphoryldiesterphosphodiesterasefamily
empty--GDPD	4	0.000126702565726956	empty	GDPD	NA	Glycerophosphoryldiesterphosphodiesterasefamily
Chorein_N--GDP_Man_Dehyd	1	3.1675641431739e-05	Chorein_N	GDP_Man_Dehyd	N-terminalregionofChoreinorVPS13	GDP-mannose4,6dehydratase
Cyclin_C--GDP_Man_Dehyd	1	3.1675641431739e-05	Cyclin_C	GDP_Man_Dehyd	Cyclin,C-terminaldomain	GDP-mannose4,6dehydratase
Cyclin_N--GDP_Man_Dehyd	1	3.1675641431739e-05	Cyclin_N	GDP_Man_Dehyd	Cyclin,N-terminaldomain	GDP-mannose4,6dehydratase
Filament--GDP_Man_Dehyd	1	3.1675641431739e-05	Filament	GDP_Man_Dehyd	Intermediatefilamentprotein	GDP-mannose4,6dehydratase
Forkhead--GDP_Man_Dehyd	1	3.1675641431739e-05	Forkhead	GDP_Man_Dehyd	Forkheaddomain	GDP-mannose4,6dehydratase
empty--GDP_Man_Dehyd	8	0.000253405131453912	empty	GDP_Man_Dehyd	NA	GDP-mannose4,6dehydratase
AlaDh_PNT_N--GED	1	3.1675641431739e-05	AlaDh_PNT_N	GED	Alaninedehydrogenase/PNT,N-terminaldomain	DynaminGTPaseeffectordomain
Arm--GED	1	3.1675641431739e-05	Arm	GED	Armadillo/beta-catenin-likerepeat	DynaminGTPaseeffectordomain
BRK--GED	1	3.1675641431739e-05	BRK	GED	BRKdomain	DynaminGTPaseeffectordomain
DZF--GED	1	3.1675641431739e-05	DZF	GED	DZFdomain	DynaminGTPaseeffectordomain
EGF_CA--GED	1	3.1675641431739e-05	EGF_CA	GED	Calcium-bindingEGFdomain	DynaminGTPaseeffectordomain
FXa_inhibition--GED	1	3.1675641431739e-05	FXa_inhibition	GED	CoagulationFactorXainhibitorysite	DynaminGTPaseeffectordomain
dsrm--GED	1	3.1675641431739e-05	dsrm	GED	Double-strandedRNAbindingmotif	DynaminGTPaseeffectordomain
empty--GED	5	0.000158378207158695	empty	GED	NA	DynaminGTPaseeffectordomain
FERM_M--GFA	1	3.1675641431739e-05	FERM_M	GFA	FERMcentraldomain	Glutathione-dependentformaldehyde-activatingenzyme
Bcl-2--GFO_IDH_MocA	1	3.1675641431739e-05	Bcl-2	GFO_IDH_MocA	Apoptosisregulatorproteins,Bcl-2family	Oxidoreductasefamily,NAD-bindingRossmannfold
CLTH--GFO_IDH_MocA	1	3.1675641431739e-05	CLTH	GFO_IDH_MocA	CTLH/CRAC-terminaltoLisHmotifdomain	Oxidoreductasefamily,NAD-bindingRossmannfold
empty--GFO_IDH_MocA	1	3.1675641431739e-05	empty	GFO_IDH_MocA	NA	Oxidoreductasefamily,NAD-bindingRossmannfold
empty--GFO_IDH_MocA_C	1	3.1675641431739e-05	empty	GFO_IDH_MocA_C	NA	Oxidoreductasefamily,C-terminalalpha/betadomain
CKS--GF_recep_IV	1	3.1675641431739e-05	CKS	GF_recep_IV	Cyclin-dependentkinaseregulatorysubunit	GrowthfactorreceptordomainIV
Cyt-b5--GF_recep_IV	1	3.1675641431739e-05	Cyt-b5	GF_recep_IV	Cytochromeb5-likeHeme/Steroidbindingdomain	GrowthfactorreceptordomainIV
DARPP-32--GF_recep_IV	3	9.5026924295217e-05	DARPP-32	GF_recep_IV	Proteinphosphataseinhibitor1/DARPP-32	GrowthfactorreceptordomainIV
empty--GF_recep_IV	40	0.00126702565726956	empty	GF_recep_IV	NA	GrowthfactorreceptordomainIV
AlaDh_PNT_C--GHBP	1	3.1675641431739e-05	AlaDh_PNT_C	GHBP	Alaninedehydrogenase/PNT,C-terminaldomain	Growthhormonereceptorbinding
AlaDh_PNT_N--GHBP	1	3.1675641431739e-05	AlaDh_PNT_N	GHBP	Alaninedehydrogenase/PNT,N-terminaldomain	Growthhormonereceptorbinding
empty--GHMP_kinases_C	2	6.3351282863478e-05	empty	GHMP_kinases_C	NA	GHMPkinasesCterminal
empty--GHMP_kinases_N	5	0.000158378207158695	empty	GHMP_kinases_N	NA	GHMPkinasesNterminaldomain
empty--GIDA	1	3.1675641431739e-05	empty	GIDA	NA	GlucoseinhibiteddivisionproteinA
empty--GIDA_assoc	1	3.1675641431739e-05	empty	GIDA_assoc	NA	GidAassociateddomain
Ank--GIT1_C	1	3.1675641431739e-05	Ank	GIT1_C	Ankyrinrepeat	Gprotein-coupledreceptorkinase-interactingprotein1Cterm
empty--GIT1_C	1	3.1675641431739e-05	empty	GIT1_C	NA	Gprotein-coupledreceptorkinase-interactingprotein1Cterm
Ank--GIT_CC	1	3.1675641431739e-05	Ank	GIT_CC	Ankyrinrepeat	GITcoiled-coilRhoguaninenucleotideexchangefactor
empty--GIT_CC	1	3.1675641431739e-05	empty	GIT_CC	NA	GITcoiled-coilRhoguaninenucleotideexchangefactor
empty--GIT_SHD	1	3.1675641431739e-05	empty	GIT_SHD	NA	Spa2homologydomain(SHD)ofGIT
Atx10homo_assoc--GKAP	1	3.1675641431739e-05	Atx10homo_assoc	GKAP	Spinocerebellarataxiatype10proteindomain	Guanylate-kinase-associatedprotein(GKAP)protein
BCL_N--GLTSCR1	1	3.1675641431739e-05	BCL_N	GLTSCR1	BCL7,N-terminalconserverregion	ConservedregionofunknownfunctiononGLTSCRprotein
empty--GMC_oxred_C	1	3.1675641431739e-05	empty	GMC_oxred_C	NA	GMCoxidoreductase
empty--GMC_oxred_N	1	3.1675641431739e-05	empty	GMC_oxred_N	NA	GMCoxidoreductase
empty--GN3L_Grn1	2	6.3351282863478e-05	empty	GN3L_Grn1	NA	GNL3L/Grn1putativeGTPase
empty--GNAT_acetyltr_2	1	3.1675641431739e-05	empty	GNAT_acetyltr_2	NA	GNATacetyltransferase2
Cauli_VI--GNT-I	1	3.1675641431739e-05	Cauli_VI	GNT-I	Caulimovirusviroplasmin	GNT-Ifamily
empty--GNT-I	1	3.1675641431739e-05	empty	GNT-I	NA	GNT-Ifamily
7tm_4--GPCR_chapero_1	1	3.1675641431739e-05	7tm_4	GPCR_chapero_1	Olfactoryreceptor	GPCR-chaperone
empty--GPCR_chapero_1	2	6.3351282863478e-05	empty	GPCR_chapero_1	NA	GPCR-chaperone
BAR--GPHH	1	3.1675641431739e-05	BAR	GPHH	BARdomain	Voltage-dependentL-typecalciumchannel,IQ-associated
CH--GPHH	1	3.1675641431739e-05	CH	GPHH	Calponinhomology(CH)domain	Voltage-dependentL-typecalciumchannel,IQ-associated
EGF--GPHH	1	3.1675641431739e-05	EGF	GPHH	EGF-likedomain	Voltage-dependentL-typecalciumchannel,IQ-associated
F-box-like--GPHH	2	6.3351282863478e-05	F-box-like	GPHH	F-box-like	Voltage-dependentL-typecalciumchannel,IQ-associated
empty--GPHH	3	9.5026924295217e-05	empty	GPHH	NA	Voltage-dependentL-typecalciumchannel,IQ-associated
4HBT--GPP34	1	3.1675641431739e-05	4HBT	GPP34	Thioesterasesuperfamily	Golgiphosphoprotein3(GPP34)
DZF--GPP34	1	3.1675641431739e-05	DZF	GPP34	DZFdomain	Golgiphosphoprotein3(GPP34)
empty--GPP34	14	0.000443458980044346	empty	GPP34	NA	Golgiphosphoprotein3(GPP34)
Adaptin_N--GPS	1	3.1675641431739e-05	Adaptin_N	GPS	AdaptinNterminalregion	GPCRproteolysissite,GPS,motif
DMAP_binding--GPS	1	3.1675641431739e-05	DMAP_binding	GPS	DMAP1-bindingDomain	GPCRproteolysissite,GPS,motif
DNMT1-RFD--GPS	1	3.1675641431739e-05	DNMT1-RFD	GPS	CytosinespecificDNAmethyltransferasereplicationfocidomain	GPCRproteolysissite,GPS,motif
DUF1126--GPS	1	3.1675641431739e-05	DUF1126	GPS	DUF1126PH-likedomain	GPCRproteolysissite,GPS,motif
DUF3657--GPS	1	3.1675641431739e-05	DUF3657	GPS	ProteinFAM135	GPCRproteolysissite,GPS,motif
Erf4--GPS	2	6.3351282863478e-05	Erf4	GPS	GolginsubfamilyAmember7/ERF4family	GPCRproteolysissite,GPS,motif
Glyco_transf_64--GPS	1	3.1675641431739e-05	Glyco_transf_64	GPS	Glycosyltransferasefamily64domain	GPCRproteolysissite,GPS,motif
empty--GPS	9	0.000285080772885651	empty	GPS	NA	GPCRproteolysissite,GPS,motif
BTB--GPS2_interact	1	3.1675641431739e-05	BTB	GPS2_interact	BTB/POZdomain	G-proteinpathwaysuppressor2-interactingdomain
CD36--GPS2_interact	4	0.000126702565726956	CD36	GPS2_interact	CD36family	G-proteinpathwaysuppressor2-interactingdomain
Ceramidase--GPS2_interact	2	6.3351282863478e-05	Ceramidase	GPS2_interact	Ceramidase	G-proteinpathwaysuppressor2-interactingdomain
DUF525--GPS2_interact	2	6.3351282863478e-05	DUF525	GPS2_interact	ApaGdomain	G-proteinpathwaysuppressor2-interactingdomain
F-box-like--GPS2_interact	1	3.1675641431739e-05	F-box-like	GPS2_interact	F-box-like	G-proteinpathwaysuppressor2-interactingdomain
GATA--GPS2_interact	2	6.3351282863478e-05	GATA	GPS2_interact	GATAzincfinger	G-proteinpathwaysuppressor2-interactingdomain
Glycos_transf_2--GPS2_interact	2	6.3351282863478e-05	Glycos_transf_2	GPS2_interact	Glycosyltransferasefamily2	G-proteinpathwaysuppressor2-interactingdomain
empty--GPS2_interact	10	0.00031675641431739	empty	GPS2_interact	NA	G-proteinpathwaysuppressor2-interactingdomain
AMP_N--GRAM	1	3.1675641431739e-05	AMP_N	GRAM	AminopeptidaseP,N-terminaldomain	GRAMdomain
DBINO--GRAM	1	3.1675641431739e-05	DBINO	GRAM	DNA-bindingdomain	GRAMdomain
DEAD--GRAM	1	3.1675641431739e-05	DEAD	GRAM	DEAD/DEAHboxhelicase	GRAMdomain
DENN--GRAM	1	3.1675641431739e-05	DENN	GRAM	DENN(AEX-3)domain	GRAMdomain
DEP--GRAM	1	3.1675641431739e-05	DEP	GRAM	DomainfoundinDishevelled,Egl-10,andPleckstrin(DEP)	GRAMdomain
DUF1899--GRAM	2	6.3351282863478e-05	DUF1899	GRAM	Domainofunknownfunction(DUF1899)	GRAMdomain
empty--GRAM	15	0.000475134621476085	empty	GRAM	NA	GRAMdomain
DUF1619--GRASP55_65	1	3.1675641431739e-05	DUF1619	GRASP55_65	Proteinofunknownfunction(DUF1619)	GRASP55/65PDZ-likedomain
CoA_transf_3--GREB1	1	3.1675641431739e-05	CoA_transf_3	GREB1	CoA-transferasefamilyIII	Generegulatedbyoestrogeninbreastcancer
empty--GRIM-19	3	9.5026924295217e-05	empty	GRIM-19	NA	GRIM-19protein
Band_3_cyto--GRIP	1	3.1675641431739e-05	Band_3_cyto	GRIP	Band3cytoplasmicdomain	GRIPdomain
FG-GAP--GRIP	1	3.1675641431739e-05	FG-GAP	GRIP	FG-GAPrepeat	GRIPdomain
empty--GSHPx	2	6.3351282863478e-05	empty	GSHPx	NA	Glutathioneperoxidase
empty--GSH_synth_ATP	2	6.3351282863478e-05	empty	GSH_synth_ATP	NA	Eukaryoticglutathionesynthase,ATPbindingdomain
empty--GSH_synthase	2	6.3351282863478e-05	empty	GSH_synthase	NA	Eukaryoticglutathionesynthase
Annexin--GST_C	1	3.1675641431739e-05	Annexin	GST_C	Annexin	GlutathioneS-transferase,C-terminaldomain
CLPTM1--GST_C	1	3.1675641431739e-05	CLPTM1	GST_C	Cleftlipandpalatetransmembraneprotein1(CLPTM1)	GlutathioneS-transferase,C-terminaldomain
Cyt-b5--GST_C	1	3.1675641431739e-05	Cyt-b5	GST_C	Cytochromeb5-likeHeme/Steroidbindingdomain	GlutathioneS-transferase,C-terminaldomain
EGF--GST_C	1	3.1675641431739e-05	EGF	GST_C	EGF-likedomain	GlutathioneS-transferase,C-terminaldomain
FA_desaturase--GST_C	1	3.1675641431739e-05	FA_desaturase	GST_C	Fattyaciddesaturase	GlutathioneS-transferase,C-terminaldomain
empty--GST_C	14	0.000443458980044346	empty	GST_C	NA	GlutathioneS-transferase,C-terminaldomain
DEAD--GST_C_2	1	3.1675641431739e-05	DEAD	GST_C_2	DEAD/DEAHboxhelicase	GlutathioneS-transferase,C-terminaldomain
Forkhead--GST_C_2	1	3.1675641431739e-05	Forkhead	GST_C_2	Forkheaddomain	GlutathioneS-transferase,C-terminaldomain
empty--GST_C_3	1	3.1675641431739e-05	empty	GST_C_3	NA	GlutathioneS-transferase,C-terminaldomain
Ephrin_lbd--GST_C_6	1	3.1675641431739e-05	Ephrin_lbd	GST_C_6	Ephrinreceptorligandbindingdomain	GlutathioneS-transferase,C-terminaldomain
empty--GST_C_6	2	6.3351282863478e-05	empty	GST_C_6	NA	GlutathioneS-transferase,C-terminaldomain
Annexin--GST_N	1	3.1675641431739e-05	Annexin	GST_N	Annexin	GlutathioneS-transferase,N-terminaldomain
empty--GST_N	6	0.000190053848590434	empty	GST_N	NA	GlutathioneS-transferase,N-terminaldomain
empty--GST_N_2	3	9.5026924295217e-05	empty	GST_N_2	NA	GlutathioneS-transferase,N-terminaldomain
Collagen--GST_N_3	1	3.1675641431739e-05	Collagen	GST_N_3	Collagentriplehelixrepeat(20copies)	GlutathioneS-transferase,N-terminaldomain
empty--GST_N_3	1	3.1675641431739e-05	empty	GST_N_3	NA	GlutathioneS-transferase,N-terminaldomain
DNA_pol_E_B--GTF2I	1	3.1675641431739e-05	DNA_pol_E_B	GTF2I	DNApolymerasealpha/epsilonsubunitB	GTF2I-likerepeat
EMI--GTF2I	1	3.1675641431739e-05	EMI	GTF2I	EMIdomain	GTF2I-likerepeat
empty--GTF2I	2	6.3351282863478e-05	empty	GTF2I	NA	GTF2I-likerepeat
empty--GTP-bdg_M	3	9.5026924295217e-05	empty	GTP-bdg_M	NA	GTP-bindingGTPaseMiddleRegion
empty--GTP-bdg_N	3	9.5026924295217e-05	empty	GTP-bdg_N	NA	GTP-bindingGTPaseN-terminal
EF-hand_5--GTP1_OBG	1	3.1675641431739e-05	EF-hand_5	GTP1_OBG	EFhand	GTP1/OBG
empty--GTP1_OBG	1	3.1675641431739e-05	empty	GTP1_OBG	NA	GTP1/OBG
AD--GTP_EFTU	1	3.1675641431739e-05	AD	GTP_EFTU	Anticodon-bindingdomain	ElongationfactorTuGTPbindingdomain
BACK--GTP_EFTU	1	3.1675641431739e-05	BACK	GTP_EFTU	BTBAndC-terminalKelch	ElongationfactorTuGTPbindingdomain
BROMI--GTP_EFTU	1	3.1675641431739e-05	BROMI	GTP_EFTU	Broad-mindedprotein	ElongationfactorTuGTPbindingdomain
BTB--GTP_EFTU	1	3.1675641431739e-05	BTB	GTP_EFTU	BTB/POZdomain	ElongationfactorTuGTPbindingdomain
Bromodomain--GTP_EFTU	4	0.000126702565726956	Bromodomain	GTP_EFTU	Bromodomain	ElongationfactorTuGTPbindingdomain
C1q--GTP_EFTU	1	3.1675641431739e-05	C1q	GTP_EFTU	C1qdomain	ElongationfactorTuGTPbindingdomain
DUF3544--GTP_EFTU	1	3.1675641431739e-05	DUF3544	GTP_EFTU	ProteinkinaseC-bindingprotein1	ElongationfactorTuGTPbindingdomain
Filament--GTP_EFTU	2	6.3351282863478e-05	Filament	GTP_EFTU	Intermediatefilamentprotein	ElongationfactorTuGTPbindingdomain
dCMP_cyt_deam_1--GTP_EFTU	1	3.1675641431739e-05	dCMP_cyt_deam_1	GTP_EFTU	Cytidineanddeoxycytidylatedeaminasezinc-bindingregion	ElongationfactorTuGTPbindingdomain
empty--GTP_EFTU	13	0.000411783338612607	empty	GTP_EFTU	NA	ElongationfactorTuGTPbindingdomain
AD--GTP_EFTU_D2	1	3.1675641431739e-05	AD	GTP_EFTU_D2	Anticodon-bindingdomain	ElongationfactorTudomain2
BACK--GTP_EFTU_D2	1	3.1675641431739e-05	BACK	GTP_EFTU_D2	BTBAndC-terminalKelch	ElongationfactorTudomain2
BROMI--GTP_EFTU_D2	1	3.1675641431739e-05	BROMI	GTP_EFTU_D2	Broad-mindedprotein	ElongationfactorTudomain2
BTB--GTP_EFTU_D2	1	3.1675641431739e-05	BTB	GTP_EFTU_D2	BTB/POZdomain	ElongationfactorTudomain2
empty--GTP_EFTU_D2	6	0.000190053848590434	empty	GTP_EFTU_D2	NA	ElongationfactorTudomain2
BROMI--GTP_EFTU_D3	1	3.1675641431739e-05	BROMI	GTP_EFTU_D3	Broad-mindedprotein	ElongationfactorTuC-terminaldomain
empty--GTP_EFTU_D3	3	9.5026924295217e-05	empty	GTP_EFTU_D3	NA	ElongationfactorTuC-terminaldomain
Atx10homo_assoc--GTSE1_N	1	3.1675641431739e-05	Atx10homo_assoc	GTSE1_N	Spinocerebellarataxiatype10proteindomain	G-2andS-phaseexpressed1
empty--GTSE1_N	1	3.1675641431739e-05	empty	GTSE1_N	NA	G-2andS-phaseexpressed1
empty--GUCT	1	3.1675641431739e-05	empty	GUCT	NA	GUCT(NUC152)domain
AATF-Che1--GWT1	1	3.1675641431739e-05	AATF-Che1	GWT1	Apoptosisantagonizingtranscriptionfactor	GWT1
ATG16--GYF	1	3.1675641431739e-05	ATG16	GYF	Autophagyprotein16(ATG16)	GYFdomain
Actin--GYF	1	3.1675641431739e-05	Actin	GYF	Actin	GYFdomain
C2--GYF	1	3.1675641431739e-05	C2	GYF	C2domain	GYFdomain
EF-hand_4--GYF	1	3.1675641431739e-05	EF-hand_4	GYF	Cytoskeletal-regulatorycomplexEFhand	GYFdomain
empty--GYF	5	0.000158378207158695	empty	GYF	NA	GYFdomain
DUF3730--G_glu_transpept	1	3.1675641431739e-05	DUF3730	G_glu_transpept	Proteinofunknownfunction(DUF3730)	Gamma-glutamyltranspeptidase
Fox-1_C--G_path_suppress	1	3.1675641431739e-05	Fox-1_C	G_path_suppress	Calcitoningene-relatedpeptideregulatorCterminal	G-proteinpathwaysuppressor
Bax1-I--Gaa1	1	3.1675641431739e-05	Bax1-I	Gaa1	Inhibitorofapoptosis-promotingBax1	Gaa1-like,GPItransamidasecomponent
empty--Gal-3-0_sulfotr	2	6.3351282863478e-05	empty	Gal-3-0_sulfotr	NA	Galactose-3-O-sulfotransferase
CARD--Gal-bind_lectin	1	3.1675641431739e-05	CARD	Gal-bind_lectin	Caspaserecruitmentdomain	Galactoside-bindinglectin
ECH_1--Gal-bind_lectin	1	3.1675641431739e-05	ECH_1	Gal-bind_lectin	Enoyl-CoAhydratase/isomerase	Galactoside-bindinglectin
empty--Gal-bind_lectin	5	0.000158378207158695	empty	Gal-bind_lectin	NA	Galactoside-bindinglectin
empty--GalKase_gal_bdg	2	6.3351282863478e-05	empty	GalKase_gal_bdg	NA	Galactokinasegalactose-bindingsignature
empty--GalP_UDP_tr_C	2	6.3351282863478e-05	empty	GalP_UDP_tr_C	NA	Galactose-1-phosphateuridyltransferase,C-terminaldomain
empty--GalP_UDP_transf	2	6.3351282863478e-05	empty	GalP_UDP_transf	NA	Galactose-1-phosphateuridyltransferase,N-terminaldomain
DUF1126--Gal_Lectin	1	3.1675641431739e-05	DUF1126	Gal_Lectin	DUF1126PH-likedomain	Galactosebindinglectindomain
Erf4--Gal_Lectin	2	6.3351282863478e-05	Erf4	Gal_Lectin	GolginsubfamilyAmember7/ERF4family	Galactosebindinglectindomain
Gal-bind_lectin--Gal_Lectin	1	3.1675641431739e-05	Gal-bind_lectin	Gal_Lectin	Galactoside-bindinglectin	Galactosebindinglectindomain
empty--Gal_Lectin	4	0.000126702565726956	empty	Gal_Lectin	NA	Galactosebindinglectindomain
API5--Gal_mutarotas_2	1	3.1675641431739e-05	API5	Gal_mutarotas_2	Apoptosisinhibitoryprotein5(API5)	Galactosemutarotase-like
Actin--Gal_mutarotas_2	1	3.1675641431739e-05	Actin	Gal_mutarotas_2	Actin	Galactosemutarotase-like
Cnn_1N--Galactosyl_T	1	3.1675641431739e-05	Cnn_1N	Galactosyl_T	CentrosominN-terminalmotif1	Galactosyltransferase
empty--Gasdermin	2	6.3351282863478e-05	empty	Gasdermin	NA	Gasderminporeformingdomain
empty--GatB_N	3	9.5026924295217e-05	empty	GatB_N	NA	GatB/GatEcatalyticdomain
empty--GatB_Yqey	3	9.5026924295217e-05	empty	GatB_Yqey	NA	GatBdomain
empty--Gate	1	3.1675641431739e-05	empty	Gate	NA	Nucleosiderecognition
ACAS_N--Gelsolin	1	3.1675641431739e-05	ACAS_N	Gelsolin	Acetyl-coenzymeAsynthetaseN-terminus	Gelsolinrepeat
ANTH--Gelsolin	1	3.1675641431739e-05	ANTH	Gelsolin	ANTHdomain	Gelsolinrepeat
BRICHOS--Gelsolin	1	3.1675641431739e-05	BRICHOS	Gelsolin	BRICHOSdomain	Gelsolinrepeat
DUF3361--Gelsolin	1	3.1675641431739e-05	DUF3361	Gelsolin	Domainofunknownfunction(DUF3361)	Gelsolinrepeat
ELMO_CED12--Gelsolin	1	3.1675641431739e-05	ELMO_CED12	Gelsolin	ELMO/CED-12family	Gelsolinrepeat
empty--Gelsolin	7	0.000221729490022173	empty	Gelsolin	NA	Gelsolinrepeat
4HBT--Geminin	1	3.1675641431739e-05	4HBT	Geminin	Thioesterasesuperfamily	Geminin
BTK--Gla	1	3.1675641431739e-05	BTK	Gla	BTKmotif	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
C1-set--Gla	1	3.1675641431739e-05	C1-set	Gla	ImmunoglobulinC1-setdomain	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
C2--Gla	1	3.1675641431739e-05	C2	Gla	C2domain	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
Carn_acyltransf--Gla	1	3.1675641431739e-05	Carn_acyltransf	Gla	Choline/Carnitineo-acyltransferase	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
DNA_pol_B--Gla	1	3.1675641431739e-05	DNA_pol_B	Gla	DNApolymerasefamilyB	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
DNA_pol_B_exo1--Gla	1	3.1675641431739e-05	DNA_pol_B_exo1	Gla	DNApolymerasefamilyB,exonucleasedomain	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
DNA_pol_alpha_N--Gla	1	3.1675641431739e-05	DNA_pol_alpha_N	Gla	DNApolymerasealphasubunitp180Nterminal	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
empty--Gla	39	0.00123535001583782	empty	Gla	NA	VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
empty--Globin	3	9.5026924295217e-05	empty	Globin	NA	Globin
empty--Glu-tRNAGln	1	3.1675641431739e-05	empty	Glu-tRNAGln	NA	Glu-tRNAGlnamidotransferaseCsubunit
empty--GluR_Homer-bdg	1	3.1675641431739e-05	empty	GluR_Homer-bdg	NA	Homer-bindingdomainofmetabotropicglutamatereceptor
empty--Glucosamine_iso	3	9.5026924295217e-05	empty	Glucosamine_iso	NA	Glucosamine-6-phosphateisomerases/6-phosphogluconolactonase
empty--Glutaminase	3	9.5026924295217e-05	empty	Glutaminase	NA	Glutaminase
empty--Glutaredoxin	9	0.000285080772885651	empty	Glutaredoxin	NA	Glutaredoxin
Clathrin_bdg--Gly_acyl_tr_C	1	3.1675641431739e-05	Clathrin_bdg	Gly_acyl_tr_C	Clathrin-bindingboxofAftiphilin,vesicletrafficking	Aralkylacyl-CoA:aminoacidN-acyltransferase,C-terminalregion
empty--Gly_acyl_tr_C	4	0.000126702565726956	empty	Gly_acyl_tr_C	NA	Aralkylacyl-CoA:aminoacidN-acyltransferase,C-terminalregion
Clathrin_bdg--Gly_acyl_tr_N	1	3.1675641431739e-05	Clathrin_bdg	Gly_acyl_tr_N	Clathrin-bindingboxofAftiphilin,vesicletrafficking	Aralkylacyl-CoA:aminoacidN-acyltransferase
empty--Gly_rich	1	3.1675641431739e-05	empty	Gly_rich	NA	Glycinerichprotein
empty--Glyco_hydro_1	1	3.1675641431739e-05	empty	Glyco_hydro_1	NA	Glycosylhydrolasefamily1
empty--Glyco_hydro_15	4	0.000126702565726956	empty	Glyco_hydro_15	NA	Glycosylhydrolasesfamily15
empty--Glyco_hydro_18	2	6.3351282863478e-05	empty	Glyco_hydro_18	NA	Glycosylhydrolasesfamily18
empty--Glyco_hydro_2	1	3.1675641431739e-05	empty	Glyco_hydro_2	NA	Glycosylhydrolasesfamily2
empty--Glyco_hydro_20	1	3.1675641431739e-05	empty	Glyco_hydro_20	NA	Glycosylhydrolasefamily20,catalyticdomain
empty--Glyco_hydro_2_C	2	6.3351282863478e-05	empty	Glyco_hydro_2_C	NA	Glycosylhydrolasesfamily2,TIMbarreldomain
empty--Glyco_hydro_2_N	1	3.1675641431739e-05	empty	Glyco_hydro_2_N	NA	Glycosylhydrolasesfamily2,sugarbindingdomain
API5--Glyco_hydro_31	1	3.1675641431739e-05	API5	Glyco_hydro_31	Apoptosisinhibitoryprotein5(API5)	Glycosylhydrolasesfamily31
Actin--Glyco_hydro_31	1	3.1675641431739e-05	Actin	Glyco_hydro_31	Actin	Glycosylhydrolasesfamily31
empty--Glyco_hydro_35	3	9.5026924295217e-05	empty	Glyco_hydro_35	NA	Glycosylhydrolasesfamily35
Folate_rec--Glyco_hydro_38	2	6.3351282863478e-05	Folate_rec	Glyco_hydro_38	Folatereceptorfamily	Glycosylhydrolasesfamily38C-terminaldomain1
Folate_rec--Glyco_hydro_38	2	6.3351282863478e-05	Folate_rec	Glyco_hydro_38	Folatereceptorfamily	Glycosylhydrolasesfamily38N-terminaldomain
empty--Glyco_hydro_38	1	3.1675641431739e-05	empty	Glyco_hydro_38	NA	Glycosylhydrolasesfamily38C-terminaldomain1
