Name,SK,Group,Family,Subfamily,Pseudogene?,Header,Entrez_GeneID,RefSeq cDNA (Jan 07),Refseq mRNA,gi_mRNA,Refseq protein,gi_protein,Old_Name,Entrez_Symbol,Entrez_Synonyms,Entrez_dbXrefs,Entrez_Chromosome,Entrez_map_location,Entrez_symbol_from_nomenclature_authority
RIOK2,SK753,Atypical,RIO,RIO2,N,Atypical_RIO_RIO2_SK753_RIOK2,55781,NM_018343,NM_018343.1,8922904,NP_060813.1,8922905,RIOK2,RIOK2,FLJ11159,HGNC:18999|HPRD:10193,5,5q15,RIOK2
RIOK3,SK606,Atypical,RIO,RIO3,N,Atypical_RIO_RIO3_SK606_RIOK3,8780,NM_003831,NM_003831.2,22325376,NP_003822.2,22325377,RIOK3,RIOK3,DKFZp779L1370|SUDD,HGNC:11451|MIM:603579|HPRD:04659,18,18q11.2,RIOK3
TAF1,SK772,Atypical,TAF1,,N,Atypical_TAF1__SK772_TAF1,6872,NM_004606,NM_004606.2,20357584,NP_004597.2,20357585,TAF1,TAF1,BA2R|CCG1|CCGS|NSCL2|OF|P250|TAF2A|TAFII250,HGNC:11535|MIM:313650|HPRD:02436,X,Xq13.1,TAF1
TAF1L,SK781,Atypical,TAF1,,N,Atypical_TAF1__SK781_TAF1L,138474,NM_153809,NM_153809.1,24429571,NP_722516.1,24429572,TAF1L,TAF1L,MGC134910|TAF2A2,HGNC:18056|MIM:607798|HPRD:09696,9,9p21.1,TAF1L
TIF1a,SK783,Atypical,TIF1,,N,Atypical_TIF1__SK783_TIF1a,8805,NM_015905,NM_015905.2,47419910,NP_056989.2,47419911,TIF1a,TRIM24,PTC6|RNF82|TF1A|TIF1|TIF1A|TIF1ALPHA|hTIF1,HGNC:11812|MIM:603406|HPRD:04556,7,7q32-q34,TRIM24
TIF1b,SK784,Atypical,TIF1,,N,Atypical_TIF1__SK784_TIF1b,10155,NM_005762,NM_005762.2,14971416,NP_005753.1,5032179,TIF1b,TRIM28,FLJ29029|KAP1|RNF96|TF1B|TIF1B,HGNC:16384|MIM:601742|HPRD:03445,19,19q13.4,TRIM28
TIF1g,SK785,Atypical,TIF1,,N,Atypical_TIF1__SK785_TIF1g,51592,NM_015906,NM_015906.3,74027248,NP_056990.3,74027249,TIF1g,TRIM33,FLJ32925|PTC7|RFG7|TF1G|TIF1G|TIF1GAMMA|TIFGAMMA,HGNC:16290|MIM:605769|HPRD:10423,1,1p13.1,TRIM33
CaMK4,SK061,CAMK,CAMK1,,N,CAMK_CAMK1__SK061_CaMK4,814,NM_001744,NM_001744.3,27477118,NP_001735.1,4502557,CaMK4,CAMK4,CaMK-GR|MGC36771,HGNC:1464|MIM:114080|HPRD:07169,5,5q21.3,CAMK4
CaMK1a,SK056,CAMK,CAMK1,,N,CAMK_CAMK1__SK056_CaMK1a,8536,NM_003656,NM_003656.3,21536281,NP_003647.1,4502553,CaMK1a,CAMK1,CAMKI|MGC120317|MGC120318,HGNC:1459|MIM:604998|HPRD:05412,3,3p25.3,CAMK1
CaMK1d,SK572,CAMK,CAMK1,,N,CAMK_CAMK1__SK572_CaMK1d,57118,NM_020397,NM_020397.2,62952497,NP_065130.1,9966875,CaMK1d,CAMK1D,CKLiK|CaM-K1|CaMKID,HGNC:19341|MIM:607957|HPRD:06409,10,10p13,CAMK1D
CaMK1g,SK021,CAMK,CAMK1,,N,CAMK_CAMK1__SK021_CaMK1g,57172,NM_020439,NM_020439.2,41327718,NP_065172.1,14196445,CaMK1g,CAMK1G,CLICKIII|VWS1|dJ272L16.1,HGNC:14585|HPRD:10807,1,1q32-q41,CAMK1G
CaMK1b,SK662,CAMK,CAMK1,,N,CAMK_CAMK1__SK662_CaMK1b,139728,NM_001039582,NM_001039582.1,88759330,NP_001034671.1,88759331,CaMK1b,PNCK,CaMK1b|MGC45419,HGNC:13415,X,Xq28,PNCK
CaMK2a,SK057,CAMK,CAMK2,,N,CAMK_CAMK2__SK057_CaMK2a,815,NM_171825,NM_171825.1,25952117,NP_741960.1,25952118,CaMK2a,CAMK2A,CAMKA|KIAA0968,HGNC:1460|MIM:114078|HPRD:06532,5,5q33.1,CAMK2A
CaMK2b,SK058,CAMK,CAMK2,,N,CAMK_CAMK2__SK058_CaMK2b,816,NM_172078,NM_172078.1,26051205,NP_742075.1,26051206,CaMK2b,CAMK2B,CAM2|CAMK2|CAMKB|MGC29528,HGNC:1461|MIM:607707|HPRD:12127,7,22q12|7p14.3-p14.1,CAMK2B
CaMK2d,SK703,CAMK,CAMK2,,N,CAMK_CAMK2__SK703_CaMK2d,817,NM_001221,NM_001221.2,26667179,NP_001212.2,26667180,CaMK2d,CAMK2D,CAMKD|MGC44911,HGNC:1462|MIM:607708|HPRD:09653,4,4q26,CAMK2D
CaMK2g,SK060,CAMK,CAMK2,,N,CAMK_CAMK2__SK060_CaMK2g,818,NM_172170,NM_172170.2,40354202,NP_751910.1,26667199,CaMK2g,CAMK2G,CAMK|CAMK-II|CAMKG|FLJ16043|MGC26678,HGNC:1463|MIM:602123|HPRD:03672,10,10q22,CAMK2G
AMPKa1,SK032,CAMK,CAMKL,AMPK,N,CAMK_CAMKL_AMPK_SK032_AMPKa1,5562,NM_006251,NM_006251.5,94557300,NP_006242.5,94557301,AMPKa1,PRKAA1,AMPK|AMPKa1|MGC33776|MGC57364,HGNC:9376|MIM:602739|HPRD:04115,5,5p12,PRKAA1
AMPKa2,SK033,CAMK,CAMKL,AMPK,N,CAMK_CAMKL_AMPK_SK033_AMPKa2,5563,NM_006252,NM_006252.2,46877067,NP_006243.2,46877068,AMPKa2,PRKAA2,AMPK|AMPK2|PRKAA,HGNC:9377|MIM:600497|HPRD:02735,1,1p31,PRKAA2
BRSK2,SK015,CAMK,CAMKL,BRSK,N,CAMK_CAMKL_BRSK_SK015_BRSK2,9024,NM_003957,NM_003957.2,116089334,NP_003948.2,116089335,BRSK2,BRSK2,C11orf7|FLJ41362|PEN11B|SAD1|STK29,HGNC:11405|MIM:609236,11,11p15.5,BRSK2
BRSK1,SK598,CAMK,CAMKL,BRSK,N,CAMK_CAMKL_BRSK_SK598_BRSK1,84446,NM_032430,NM_032430.1,24308325,NP_115806.1,24308326,BRSK1,BRSK1,FLJ43009|KIAA1811,HGNC:18994|MIM:609235|HPRD:12533,19,19q13.4,BRSK1
CHK1,SK078,CAMK,CAMKL,CHK1,N,CAMK_CAMKL_CHK1_SK078_CHK1,1111,NM_001274,NM_001274.2,20127419,NP_001265.1,4502803,CHK1,CHEK1,CHK1,HGNC:1925|MIM:603078|HPRD:04356,11,11q24-q24,CHEK1
HUNK,SK502,CAMK,CAMKL,HUNK,N,CAMK_CAMKL_HUNK_SK502_HUNK,30811,NM_014586,NM_014586.1,7657213,NP_055401.1,7657214,HUNK,HUNK,-,HGNC:13326|MIM:606532|HPRD:09410,21,21q22.1,HUNK
LKB1,SK208,CAMK,CAMKL,LKB,N,CAMK_CAMKL_LKB_SK208_LKB1,6794,NM_000455,NM_000455.4,58530881,NP_000446.1,4507271,LKB1,STK11,LKB1|PJS,HGNC:11389|MIM:602216|HPRD:03740,19,19p13.3,STK11
MARK2,SK120,CAMK,CAMKL,MARK,N,CAMK_CAMKL_MARK_SK120_MARK2,2011,NM_001039469,NM_001039469.1,86990436,NP_001034558.1,86990437,MARK2,MARK2,EMK1|MGC99619|PAR-1,HGNC:3332|MIM:600526|HPRD:02753,11,11q12-q13,MARK2
MARK1,SK215,CAMK,CAMKL,MARK,N,CAMK_CAMKL_MARK_SK215_MARK1,4139,NM_018650,NM_018650.2,33589842,NP_061120.2,33589843,MARK1,MARK1,KIAA1477|MARK|MGC126512|MGC126513,HGNC:6896|MIM:606511|HPRD:07353,1,1q41,MARK1
MARK3,SK096,CAMK,CAMKL,MARK,N,CAMK_CAMKL_MARK_SK096_MARK3,4140,NM_002376,NM_002376.4,46852165,NP_002367.4,46852166,MARK3,MARK3,CTAK1|KP78|PAR1A,HGNC:6897|MIM:602678|HPRD:04058,14,14q32.3,MARK3
MARK4,SK515,CAMK,CAMKL,MARK,N,CAMK_CAMKL_MARK_SK515_MARK4,57787,NM_031417,NM_031417.2,33636755,NP_113605.2,33636756,MARK4,MARK4,FLJ90097|KIAA1860|MARKL1|Nbla00650,HGNC:13538|MIM:606495|HPRD:09402,19,19q13.3,MARK4
MELK,SK298,CAMK,CAMKL,MELK,N,CAMK_CAMKL_MELK_SK298_MELK,9833,NM_014791,NM_014791.2,41281490,NP_055606.1,7661974,MELK,MELK,HPK38|KIAA0175,HGNC:16870|MIM:607025|HPRD:06119,9,9p13.2,MELK
NIM1,SK449,CAMK,CAMKL,NIM1,N,CAMK_CAMKL_NIM1_SK449_NIM1,167359,NM_153361,NM_153361.2,37059769,NP_699192.1,23503303,NIM1,MGC42105,-,HPRD:14618,5,5p12,-
NuaK1,SK195,CAMK,CAMKL,NuaK,N,CAMK_CAMKL_NuaK_SK195_NuaK1,9891,NM_014840,NM_014840.2,48374438,NP_055655.1,7662170,NuaK1,NUAK1,ARK5|KIAA0537,HGNC:14311|MIM:608130|HPRD:12171,12,12q23.3,NUAK1
NuaK2,SK472,CAMK,CAMKL,NuaK,N,CAMK_CAMKL_NuaK_SK472_NuaK2,81788,NM_030952,NM_030952.1,13569921,NP_112214.1,13569922,NuaK2,NUAK2,DKFZP434J037|DKFZp686F01113|FLJ90349|SNARK,HGNC:29558|MIM:608131|HPRD:12172,1,1q32.1,NUAK2
PASK,SK499,CAMK,CAMKL,PASK,N,CAMK_CAMKL_PASK_SK499_PASK,23178,NM_015148,NM_015148.2,35038527,NP_055963.2,35038528,PASK,PASK,DKFZP434O051|DKFZp686P2031|KIAA0135|PASKIN|STK37,HGNC:17270|MIM:607505|HPRD:06328,2,2q37.3,PASK
QIK,SK513,CAMK,CAMKL,QIK,N,CAMK_CAMKL_QIK_SK513_QIK,23235,NM_015191,NM_015191.1,38569459,NP_056006.1,38569460,QIK,SNF1LK2,DKFZp434K1115|KIAA0781|LOH11CR1I|QIK|SIK2,HGNC:21680|MIM:608973|HPRD:12348,11,11q23.1,SNF1LK2
QSK,SK501,CAMK,CAMKL,QIK,N,CAMK_CAMKL_QIK_SK501_QSK,23387,NM_025164,NM_025164.3,39812204,NP_079440.2,38569491,QSK,KIAA0999,FLJ12240|L19,HPRD:11121,11,11q23.3,-
SIK,SK604,CAMK,CAMKL,QIK,N,CAMK_CAMKL_QIK_SK604_SIK,150094,NM_173354,NM_173354.3,116256470,NP_775490.2,116256471,SIK,SNF1LK,MSK|SIK,HGNC:11142|MIM:605705|HPRD:09301,21,21q22.3,SNF1LK
SNRK,SK625,CAMK,CAMKL,SNRK,N,CAMK_CAMKL_SNRK_SK625_SNRK,54861,NM_017719,NM_017719.3,31442407,NP_060189.2,21361643,SNRK,SNRK,DKFZp779A1866|FLJ20224|HSNFRK|KIAA0096,HGNC:30598|HPRD:18082,3,3p22.1,SNRK
STK33,SK463,CAMK,CAMK-Unique,,N,CAMK_CAMK-Unique__SK463_STK33,65975,NM_030906,NM_030906.2,44890053,NP_112168.1,23943882,STK33,STK33,-,HGNC:14568|MIM:607670|HPRD:09642,11,11p15.3,STK33
VACAMKL,SK062,CAMK,CAMK-Unique,,N,CAMK_CAMK-Unique__SK062_VACAMKL,79012,NM_024046,NM_024046.3,83776595,NP_076951.2,83776596,VACAMKL,CAMKV,1G5|MGC8407|VACAMKL,HGNC:28788|HPRD:11361,3,3p21.31,CAMKV
CASK,SK064,CAMK,CASK,,N,CAMK_CASK__SK064_CASK,8573,NM_003688,NM_003688.1,4502566,NP_003679.1,4502567,CASK,CASK,LIN2,HGNC:1497|MIM:300172|HPRD:02164,X,Xp11.4,CASK
DAPK1,SK103,CAMK,DAPK,DAPK,N,CAMK_DAPK__SK103_DAPK1,1612,NM_004938,NM_004938.2,89363046,NP_004929.2,89363047,DAPK1,DAPK1,DAPK|DKFZp781I035,HGNC:2674|MIM:600831|HPRD:02902,9,9q34.1,DAPK1
DAPK3,SK716,CAMK,DAPK,DAPK,N,CAMK_DAPK__SK716_DAPK3,1613,NM_001348,NM_001348.1,4557510,NP_001339.1,4557511,DAPK3,DAPK3,FLJ36473|ZIP|ZIPK,HGNC:2676|MIM:603289|HPRD:04478,19,19p13.3,DAPK3
DAPK2,SK104,CAMK,DAPK,DAPK,N,CAMK_DAPK__SK104_DAPK2,23604,NM_014326,NM_014326.3,71774012,NP_055141.2,14670383,DAPK2,DAPK2,DRP-1|MGC119312,HGNC:2675|HPRD:09905,15,15q22.31,DAPK2
DRAK2,SK487,CAMK,DAPK,DRAK,N,CAMK_DAPK__SK487_DRAK2,9262,NM_004226,NM_004226.2,31543661,NP_004217.1,4758194,DRAK2,STK17B,DRAK2,HGNC:11396|MIM:604727|HPRD:05289,2,2q32.3,STK17B
DRAK1,SK486,CAMK,DAPK,DRAK,N,CAMK_DAPK__SK486_DRAK1,9263,NM_004760,NM_004760.2,109255244,NP_004751.2,109255245,DRAK1,STK17A,DRAK1,HGNC:11395|MIM:604726|HPRD:05288,7,7p12-p14,STK17A
DCLK1,SK063,CAMK,DCAMKL,,N,CAMK_DCAMKL__SK063_DCAMKL1,9201,NM_004734,NM_004734.2,42544237,NP_004725.1,4758128,DCLK1,DCAMKL1,DCLK|KIAA0369,HGNC:2700|MIM:604742|HPRD:09202,13,13q13,DCAMKL1
DCLK3,SK459,CAMK,DCAMKL,,N,CAMK_DCAMKL__SK459_DCAMKL3,85443,XM_940612,XM_940612.2,113415013,XP_945705.2,113415014,DCLK3,DCAMKL3,KIAA1765,HGNC:19005,3,3p22.2,DCAMKL3
DCLK2,SK527,CAMK,DCAMKL,,N,CAMK_DCAMKL__SK527_DCAMKL2,166614,NM_001040260,NM_001040260.1,94400914,NP_001035350.1,94400915,DCLK2,DCAMKL2,DCDC3|DCK2|DKFZp761I032|MGC45428,HGNC:19002|HPRD:13122,4,4q31.3,DCAMKL2
MAPKAPK3,SK213,CAMK,MAPKAPK,MAPKAPK,N,CAMK_MAPKAPK_MAPKAPK_SK213_MAPKAPK3,7867,NM_004635,NM_004635.3,34335241,NP_004626.1,4758700,MAPKAPK3,MAPKAPK3,3PK|MAPKAP3,HGNC:6888|MIM:602130|HPRD:03678,3,3p21.3,MAPKAPK3
MAPKAPK5,SK214,CAMK,MAPKAPK,MAPKAPK,N,CAMK_MAPKAPK_MAPKAPK_SK214_MAPKAPK5,8550,NM_003668,NM_003668.2,21237764,NP_003659.2,21237765,MAPKAPK5,MAPKAPK5,PRAK,HGNC:6889|MIM:606723|HPRD:09467,12,12q24.12-q24.13,MAPKAPK5
MAPKAPK2,SK212,CAMK,MAPKAPK,MAPKAPK,N,CAMK_MAPKAPK_MAPKAPK_SK212_MAPKAPK2,9261,NM_004759,NM_004759.3,32481207,NP_004750.1,10863901,MAPKAPK2,MAPKAPK2,-,HGNC:6887|MIM:602006|HPRD:11882,1,1q32,MAPKAPK2
MNK2,SK236,CAMK,MAPKAPK,MNK,N,CAMK_MAPKAPK_MNK_SK236_MNK2,2872,NM_017572,NM_017572.2,40018630,NP_060042.2,40018631,MNK2,MKNK2,GPRK7|MNK2,HGNC:7111|MIM:605069|HPRD:05459,19,19p13.3,MKNK2
MNK1,SK235,CAMK,MAPKAPK,MNK,N,CAMK_MAPKAPK_MNK_SK235_MNK1,8569,NM_003684,NM_003684.3,34147650,NP_003675.2,21361101,MNK1,MKNK1,MNK1,HGNC:7110|MIM:606724|HPRD:09468,1,1p33,MKNK1
smMLCK,SK231,CAMK,MLCK,,N,CAMK_MLCK__SK231_smMLCK,4638,NM_053025,NM_053025.3,116008191,NP_444253.3,116008192,smMLCK,MYLK,DKFZp686I10125|FLJ12216|KRP|MLCK|MLCK108|MLCK210|MSTP083,HGNC:7590|MIM:600922|HPRD:02952,3,3q21,MYLK
TTN,SK372,CAMK,MLCK,,N,CAMK_MLCK__SK372_TTN,7273,NM_133437,NM_133437.2,110349716,NP_597681.2,110349717,TTN,TTN,CMD1G|CMH9|CMPD4|DKFZp451N061|FLJ26020|FLJ26409|FLJ32040|FLJ34413|FLJ39564|FLJ43066|HMERF|LGMD2J|TMD,HGNC:12403|MIM:188840|HPRD:01787,2,2q31,TTN
skMLCK,SK675,CAMK,MLCK,,N,CAMK_MLCK__SK675_skMLCK,85366,NM_033118,NM_033118.2,17136076,NP_149109.1,14993776,skMLCK,MYLK2,KMLC|MLCK|skMLCK,HGNC:16243|MIM:606566|HPRD:05953,20,20q13.31,MYLK2
caMLCK,SK536,CAMK,MLCK,,N,CAMK_MLCK__SK536_caMLCK,91807,NM_182493,NM_182493.1,32698825,NP_872299.1,32698826,caMLCK,MLCK,MGC126319|MGC126320|MLCK2,HPRD:11281,16,16q11.2,-
SgK085,SK709,CAMK,MLCK,,N,CAMK_MLCK__SK709_SgK085,340156,NM_001012418,NM_001012418.1,60115716,NP_001012418.1,60115717,SgK085,RP11-145H9.1,LOC340156,HPRD:17355,6,6p25.2,-
PHKg1,SK283,CAMK,PHK,,N,CAMK_PHK__SK283_PHKg1,5260,NM_006213,NM_006213.3,94538351,NP_006204.1,5453882,PHKg1,PHKG1,PHKG,HGNC:8930|MIM:172470|HPRD:01404,7,7p11.2,PHKG1
PHKg2,SK284,CAMK,PHK,,N,CAMK_PHK__SK284_PHKg2,5261,NM_000294,NM_000294.1,4505784,NP_000285.1,4505785,PHKg2,PHKG2,-,HGNC:8931|MIM:172471|HPRD:01405,16,16p12.1-p11.2,PHKG2
PIM1,SK291,CAMK,PIM,,N,CAMK_PIM__SK291_PIM1,5292,NM_002648,NM_002648.2,31543400,NP_002639.1,4505811,PIM1,PIM1,PIM,HGNC:8986|MIM:164960|HPRD:01292,6,6p21.2,PIM1
PIM2,SK292,CAMK,PIM,,N,CAMK_PIM__SK292_PIM2,11040,NM_006875,NM_006875.2,42821111,NP_006866.2,42821112,PIM2,PIM2,-,HGNC:8987|MIM:300295|HPRD:02244,X,Xp11.23,PIM2
PIM3,SK200,CAMK,PIM,,N,CAMK_PIM__SK200_PIM3,415116,NM_001001852,NM_001001852.2,52138581,NP_001001852.1,49258202,PIM3,PIM3,pim-3,HGNC:19310|MIM:610580|HPRD:15137,22,22q13,PIM3
PKD1,SK309,CAMK,PKD,,N,CAMK_PKD__SK309_PKD1,5587,NM_002742,NM_002742.2,115529462,NP_002733.2,115529463,PKD1,PRKD1,PKC-MU|PKCM|PKD|PRKCM,HGNC:9407|MIM:605435|HPRD:05668,14,14q11,PRKD1
PKD3,SK489,CAMK,PKD,,N,CAMK_PKD__SK489_PKD3,23683,NM_005813,NM_005813.3,48255886,NP_005804.1,5031689,PKD3,PRKD3,EPK2|PKC-NU|PKD3|PRKCN|nPKC-NU,HGNC:9408|MIM:607077|HPRD:06151,2,2p21,PRKD3
PKD2,SK480,CAMK,PKD,,N,CAMK_PKD__SK480_PKD2,25865,NM_001079880,NM_001079880.1,120659781,NP_001073349.1,120659782,PKD2,PRKD2,HSPC187|PKD2,HGNC:17293|MIM:607074|HPRD:09523,19,19q13.3,PRKD2
PSKH1,SK322,CAMK,PSK,,N,CAMK_PSK__SK322_PSKH1,5681,NM_006742,NM_006742.1,27901802,NP_006733.1,27901803,PSKH1,PSKH1,-,HGNC:9529|MIM:177015|HPRD:01511,16,16q22.1,PSKH1
PSKH2,SK602,CAMK,PSK,,N,CAMK_PSK__SK602_PSKH2,85481,NM_033126,NM_033126.1,14916454,NP_149117.1,14916455,PSKH2,PSKH2,-,HGNC:18997|HPRD:15192,8,8q21.2,PSKH2
CHK2,SK079,CAMK,RAD53,,N,CAMK_RAD53__SK079_CHK2,11200,NM_007194,NM_007194.3,54112404,NP_009125.1,6005850,CHK2,CHEK2,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53,HGNC:16627|MIM:604373|HPRD:05084,22,22q11|22q12.1,CHEK2
SgK495,SK492,CAMK,SgK495,,N,CAMK_CAMK-Unique__SK492_SgK495,83931,NM_032017,NM_032017.1,31543197,NP_114406.1,31543198,SgK495,STK40,MGC4796|RP11-268J15.4|SHIK|SgK495,HGNC:21373|MIM:609437|HPRD:11359,1,1p34.3,STK40
Trb1,SK014,CAMK,Trbl,,N,CAMK_Trbl__SK014_Trb1,10221,NM_025195,NM_025195.2,40788016,NP_079471.1,13399328,Trb1,TRIB1,C8FW|GIG2|SKIP1,HGNC:16891|HPRD:09863,8,8q24.13,TRIB1
Trb2,SK160,CAMK,Trbl,,N,CAMK_Trbl__SK160_Trb2,28951,NM_021643,NM_021643.1,11056053,NP_067675.1,11056054,Trb2,TRIB2,GS3955|TRB2,HGNC:30809|HPRD:18224,2,2p25.1-p24.3,TRIB2
Trb3,SK694,CAMK,Trbl,,N,CAMK_Trbl__SK694_Trb3,57761,NM_021158,NM_021158.3,41327717,NP_066981.2,31542265,Trb3,TRIB3,C20orf97|NIPK|SINK|SKIP3|TRB3,HGNC:16228|MIM:607898|HPRD:09836,20,20p13-p12.2,TRIB3
Obscn,SK601,CAMK,Trio,,N,CAMK_Trio__SK601_Obscn,84033,NM_052843,NM_052843.2,58331252,NP_443075.2,58331253,Obscn,OBSCN,DKFZp666E245|FLJ14124|KIAA1556|MGC120409|MGC120410|MGC120411|MGC120412|MGC138590|UNC89,HGNC:15719|MIM:608616|HPRD:08594|HPRD:10551,1,1q42.13,OBSCN
SPEG,SK537,CAMK,Trio,,N,CAMK_Trio__SK537_SPEG,729871,XM_001131586,XM_001131586.1,113413481,XP_001131586.1,113413482,SPEG,LOC729871,-,-,2,2q35,-
Trio,SK376,CAMK,Trio,,N,CAMK_Trio__SK376_Trio,7204,NM_007118,NM_007118.2,45439358,NP_009049.2,45439359,Trio,TRIO,tgat,HGNC:12303|MIM:601893|HPRD:03537,5,5p15.1-p14,TRIO
Trad,SK533,CAMK,Trio,,N,CAMK_Trio__SK533_Trad,8997,NM_001024660,NM_001024660.1,68509943,NP_001019831.1,68509944,Trad,KALRN,DUET|FLJ16443|HAPIP|TRAD|duo,HGNC:4814|MIM:604605|HPRD:06859|HPRD:12169,3,3q21.1-q21.2,KALRN
TSSK2,SK474,CAMK,TSSK,,N,CAMK_TSSK__SK474_TSSK2,23617,NM_053006,NM_053006.3,34222349,NP_443732.2,31543663,TSSK2,TSSK2,DGS-G|FLJ38613|SPOGA2|STK22B,HGNC:11401|MIM:610710|HPRD:10255,22,22q11.21,TSSK2
TSSK3,SK471,CAMK,TSSK,,N,CAMK_TSSK__SK471_TSSK3,81629,NM_052841,NM_052841.3,61744443,NP_443073.1,16418343,TSSK3,TSSK3,SPOGA3|STK22C|STK22D,HGNC:15473|MIM:607660|HPRD:09635,1,1p35-p34,TSSK3
TSSK1,SK705,CAMK,TSSK,,N,CAMK_TSSK__SK705_TSSK1,83942,NM_032028,NM_032028.2,21314743,NP_114417.1,14042947,TSSK1,TSSK1B,FKSG81|SPOGA4|STK22D|TSSK1,HGNC:14968|MIM:610709|HPRD:11610,5,5q22.2,TSSK1B
SSTK,SK524,CAMK,TSSK,,N,CAMK_TSSK__SK524_SSTK,83983,NM_032037,NM_032037.2,51477706,NP_114426.1,14042966,SSTK,TSSK6,FLJ24002|SSTK|TSSK4,HGNC:30410|MIM:610712|HPRD:15441,19,19p13.11,TSSK6
TSSK4,SK534,CAMK,TSSK,,N,CAMK_TSSK__SK534_TSSK4,283629,NM_174944,NM_174944.2,42734400,NP_777604.2,42734401,TSSK4,TSSK4,C14orf20|MGC133264|STK22E|TSSK5|c14_5117,HGNC:19825|MIM:610711|HPRD:12642,14,14q12,TSSK4
CK1a,SK082,CK1,CK1,CK1-A,N,CK1_CK1_CK1-A_SK082_CK1a,1452,NM_001892,NM_001892.4,68303571,NP_001883.4,68303572,CK1a,CSNK1A1,CK1|HLCDGP1|PRO2975,HGNC:2451|MIM:600505|HPRD:02739,5,5q32,CSNK1A1
CK1a2,SK541,CK1,CK1,CK1-A,N,CK1_CK1_CK1-A_SK541_CK1a2,122011,NM_145203,NM_145203.2,34222183,NP_660204.1,21624639,CK1a2,CSNK1A1L,MGC33182|RP11-532O21.2,HGNC:20289|HPRD:13095,13,13q13.3,CSNK1A1L
CK1d,SK083,CK1,CK1,CK1-D,N,CK1_CK1_CK1-D_SK083_CK1d,1453,NM_139062,NM_139062.1,20544144,NP_620693.1,20544145,CK1d,CSNK1D,HCKID,HGNC:2452|MIM:600864|HPRD:02920,17,17q25,CSNK1D
CK1e,SK084,CK1,CK1,CK1-D,N,CK1_CK1_CK1-E_SK084_CK1e,1454,NM_152221,NM_152221.2,40549400,NP_689407.1,23199991,CK1e,CSNK1E,HCKIE|MGC10398,HGNC:2453|MIM:600863|HPRD:02919,22,22q13.1,CSNK1E
CK1g2,SK086,CK1,CK1,CK1-G,N,CK1_CK1_CK1-G_SK086_CK1g2,1455,NM_001319,NM_001319.5,21314777,NP_001310.2,21314778,CK1g2,CSNK1G2,CK1g2,HGNC:2455|MIM:602214|HPRD:03738,19,19p13.3,CSNK1G2
CK1g3,SK087,CK1,CK1,CK1-G,N,CK1_CK1_CK1-G_SK087_CK1g3,1456,NM_004384,NM_004384.3,113462011,NP_004375.2,73532778,CK1g3,CSNK1G3,-,HGNC:2456|MIM:604253|HPRD:05034,5,5q23,CSNK1G3
CK1g1,SK647,CK1,CK1,CK1-G,N,CK1_CK1_CK1-G_SK647_CK1g1,53944,NM_022048,NM_022048.3,98986449,NP_071331.2,98986450,CK1g1,CSNK1G1,-,HGNC:2454|MIM:606274,15,15q22.1-q22.31,CSNK1G1
TTBK1,SK526,CK1,TTBK,,N,CK1_TTBK__SK526_TTBK1,84630,NM_032538,NM_032538.1,58761547,NP_115927.1,58761548,TTBK1,TTBK1,BDTK|KIAA1855|RP3-330M21.4,HGNC:19140|HPRD:11653,6,6p21.1,TTBK1
TTBK2,SK453,CK1,TTBK,,N,CK1_TTBK__SK453_TTBK2,146057,NM_173500,NM_173500.3,116812623,NP_775771.3,116812624,TTBK2,TTBK2,KIAA0847|TTBK,HGNC:19141|HPRD:10288,15,15q15.2,TTBK2
VRK1,SK389,CK1,VRK,,N,CK1_VRK__SK389_VRK1,7443,NM_003384,NM_003384.2,71164882,NP_003375.1,4507903,VRK1,VRK1,MGC117401|MGC138280|MGC142070,HGNC:12718|MIM:602168|HPRD:03701,14,14q32,VRK1
VRK2,SK390,CK1,VRK,,N,CK1_VRK__SK390_VRK2,7444,NM_006296,NM_006296.3,71164883,NP_006287.2,71164884,VRK2,VRK2,-,HGNC:12719|MIM:602169|HPRD:03702,2,2p16-p15,VRK2
VRK3,SK535,CK1,VRK,,N,CK1_VRK__SK535_VRK3,51231,NM_016440,NM_016440.3,71164885,NP_057524.3,71164886,VRK3,VRK3,-,HGNC:18996|HPRD:18289,19,19q13,VRK3
CCRK,SK483,CMGC,CDK,CCRK,N,CMGC_CDK__SK483_CCRK,23552,NM_001039803,NM_001039803.1,89903017,NP_001034892.1,89903018,CCRK,CCRK,CDCH|p42,HGNC:21420|MIM:610076|HPRD:13010,9,9q22.1,CCRK
CDC2,SK065,CMGC,CDK,CDC2,N,CMGC_CDK_CDC2_SK065_CDC2,983,NM_001786,NM_001786.2,16306490,NP_001777.1,4502709,CDC2,CDC2,CDC28A|CDK1|DKFZp686L20222|MGC111195,HGNC:1722|MIM:116940|HPRD:00302,10,10q21.1,CDC2
CDK2,SK067,CMGC,CDK,CDC2,N,CMGC_CDK_CDC2_SK067_CDK2,1017,NM_001798,NM_001798.2,16936527,NP_001789.2,16936528,CDK2,CDK2,p33(CDK2),HGNC:1771|MIM:116953|HPRD:00310,12,12q13,CDK2
CDK3,SK068,CMGC,CDK,CDC2,N,CMGC_CDK_CDC2_SK068_CDK3,1018,NM_001258,NM_001258.1,4557438,NP_001249.1,4557439,CDK3,CDK3,-,HGNC:1772|MIM:123828|HPRD:00446,17,17q22-qter,CDK3
