all_gene1	three_prime_partners	num_three_prime_partners	five_prime_TCGA_Projects
GAS7	ATP8B4	1	SARC
NAA20	ATP8B4	1	BRCA
MAP1B	SLC27A2:C3orf67:NDFIP1	3	PRAD:KIRC:PCPG
ZFPM2	SLC27A2:AP001207.3:ANXA13:CHMP4C	4	SARC:BRCA:HNSC:GBM
AC058822.1	USP8	1	SARC
PXDNL	USP8:MSI2:AC064807.3:ATP6V1H	4	SKCM:BRCA
KAT6A	SPPL2A:CREBBP:KLK4:FCGR1B:TRAPPC9:MSR1:AC100818.1:AC124067.1:AC124067.3:RAB11FIP1:EIF4EBP1:ADAM2:GPAT4:PLAT:IKBKB:VDAC3:SLC20A2:SMIM19:CSMD1:AC011632.1	20	ESCA:LAML:BRCA:PRAD:BLCA:LUAD:LUSC:KIRC
KIAA1644	CYP19A1:AC021092.1	2	ESCA:LGG
GLDN	MIR4713HG	1	LUAD
IGDCC3	GLDN	1	LGG
AC091544.7	GLDN:SEMA4B	2	SKCM:BRCA
CDKN2B-AS1	AC066613.2:AC006450.3:ELAVL2	3	GBM:SKCM
TP53BP1	DMXL2:DAPK2:STAU2	3	BRCA:LGG:LUAD
BCL2L10	GNB5	1	CESC
C6orf48	GNB5:SFTPB	2	KIRC:LUAD
ELP3	MYO5C	1	HNSC
DSTN	MYO5C:ARPC5:DZANK1:DTD1:SLC24A3:TCFL5:CCDC127:CCT6A	8	PRAD:LUSC:LUAD:OV:BRCA:GBM
DMXL2	MYO5A	1	STAD
MYO5C	ARPP19:AC005144.1:HAUS8	3	OV:BRCA:UCEC
GPR141	ONECUT1	1	LAML
GALT	WDR72	1	SARC
IL11RA	WDR72	1	SARC
RSL24D1	RAB27A	1	LUSC
ZNF33B	CCPG1	1	LUSC
AC092691.1	DNAAF4-CCPG1:GAP43:CCDC58	3	SKCM:BRCA:SARC
TPD52	C15orf65:OARD1:ANGPT1:AC073023.1:ANK1:COPS5:STAU2:AC027701.1:RALYL	9	PRAD:STAD:BRCA:ESCA:LUSC
CCPG1	DNAAF4:YWHAE	2	HNSC:LGG:SARC
FBN1	TEX9:LINC02254:URI1:NHSL1:EIF3B	5	MESO:SARC
PIEZO1	MNS1:APRT:GALNS:CBFA2T3:AL365226.1	5	PRAD:BRCA:OV:UCEC:ESCA:LUSC
NUP153	ZNF280D:RORA:MESP1:RNF2:GCNT2:NEDD9:DTNBP1:RIPOR2:C6orf10	9	STAD:HNSC:SKCM:BRCA:BLCA:OV:PAAD
CGNL1	TCF12	1	STAD:LIHC:BRCA
CCNB2	TCF12:RNF111	2	STAD:THYM
ZNF597	LINC01413	1	BRCA
POLG	CGNL1	1	LIHC
ICE2	ALDH1A2:CIB1	2	GBM:BRCA
CLN6	ALDH1A2:PIAS1:AC026992.1:C15orf59	4	PRAD:OV:BRCA:LUAD
MTMR3	LIPC:GAPLINC:TSHZ2:LINC01658:AP000357.2:ZNRF3:EMID1:THOC5:UQCR10:RNF215:MB:GPR141:CLIP2	13	MESO:GBM:LIHC:LUAD:READ:OV:SKCM:LUSC:UCEC
KNL1	LIPC	1	CESC
ALDH1A2	ADAM10:HORMAD2-AS1	2	SKCM:BLCA:LIHC:OV:MESO
RNF111	SLTM:TLN2:MAPKAP1	3	BLCA:CESC:ESCA:MESO
ZNF280D	RNF111:STK3	2	STAD:BRCA:BLCA
GCNT3	FAM81A	1	STAD
CCDC97	GTF2A2:SIPA1L3	2	LUAD:LUSC
GNB5	BNIP2:ZNF652:PDE6D	3	BLCA:BRCA
MINDY2	FOXB1	1	PRAD
ANXA2	ICE2:RORA:RNF114	3	KIRC:HNSC:LUSC:BRCA
GDPGP1	RORA-AS1	1	BRCA
FSTL1	RORA:CPOX	2	SARC
HMGN1	RORA:LCA5L:UBE2G2	3	BRCA:OV:SKCM
BCL2L11	AC104574.2:AFMID:ACOXL:BRAF	4	PRAD:BRCA:LUSC:THCA
SERTAD3	AC104574.2	1	STAD
RORA	AC104574.2:LOXL1:PTPN9:ARNT2:NUP210L:FSTL1:CLSTN2:PRPF4B	8	THCA:SARC:BRCA:LGG:GBM
LLGL1	TLN2:ALKBH5	2	SARC:THCA
RAB8B	TLN2:LACTB	2	LIHC:STAD
NEDD4L	TLN2:ZC3H7A:BCAR4:LINC02139:AC104984.4:UBE2G1:ZNF396:SMAD2:AC103949.1:AC027097.2:ALPK2:CDH19:SPINT2:HYI:MORC3:GRAMD4:C1QTNF3-AMACR:IMMP2L	18	BRCA:PRAD:HNSC:STAD:LUAD:ESCA:BLCA:SKCM
CNOT4	TPM1:ENAM:EYS:CALD1:TMEM178B	5	BRCA:ESCA:PAAD
ARHGAP17	RAB8B:TNRC6A:NSMCE1:CDC5L	4	LIHC:BRCA:STAD:ESCA
CORO2B	APH1B:PIAS1:SLC22A23	3	SARC:OV:SKCM
CA12	AC007950.1	1	HNSC
CXADR	HERC1:LINC01549:APP:FAM184B:CMC4	5	PRAD:LIHC:STAD:LUSC:KIRC
GUSB	HERC1	1	OV
CUL4B	DAPK2	1	LIHC
DAPK2	FAM96A:CSNK1G1:SENP8	3	PAAD:BRCA:LIHC:KIRC:OV
SNX1	FAM96A	1	BRCA
SMAD6	FAM96A:NPAS2	2	READ:ESCA
FAM96A	SNX1:AC087632.1	2	BRCA:STAD
ZNF609	SNX1:MIR9-3HG:NPTXR	3	LUSC:SKCM:UCS
PPIB	CSNK1G1	1	OV:ESCA
NRIP1	CSNK1G1:GDPD1:AC007786.1:IGSF8:MIR99AHG:C21orf91:SON:DSCAM:SP4:HIBADH:DECR1:TMLHE	12	SARC:HNSC:OV:MESO:LUSC:BLCA:STAD:GBM:BRCA
PLEKHO2	TRIP4:ZNF609	2	LGG:BRCA
PIAS1	ZNF609:SMAD3:LINC01641:HMCN2	4	PRAD:STAD:OV
ADAMTSL4	ZNF609	1	SKCM
NPLOC4	RBPMS2:AC087491.1:OXLD1:P4HB:NOTUM:FASN:CCDC57:HEXDC:FCGRT	9	OV:BRCA:CESC:SKCM:LUAD:PRAD:ESCA
PCLAF	MTFMT	1	BLCA
SCHLAP1	SLC51B:C1QTNF3-AMACR	2	BLCA:PRAD
GPI	UBAP1L:AC011478.1:KIAA0355:HKR1:EYS:DLGAP2	6	SKCM:STAD:BRCA:CESC:BLCA:HNSC:LUAD
FAM81A	CLPX	1	OV
CLPX	CILP:IGDCC4	2	OV:PRAD
CD276	PARP16:IQCH-AS1	2	BRCA:SARC
NEO1	DPP8:THSD4:AC009690.2:BBS4:CNRIP1:ZFAT	6	PRAD:OV:UCS:SARC
ARHGEF28	INTS14:BTF3	2	OV:ESCA:KIRC
ATXN1	SLC24A1:DNM3:PTPRK:ARG1:FOXCUT:CAP2:AL159166.1:HMGCLL1:CGA:AL137220.1	10	SARC:BRCA:LUAD:LUSC:SKCM:MESO
LINC01169	SLC24A1	1	STAD
ZFYVE1	DENND4A	1	LGG
INTS14	DENND4A	1	HNSC
BPIFB1	SNAPC5:BCAR4	2	BRCA:STAD
MEGF11	RPL4	1	LGG
TMEM266	SMAD6	1	OV
AC091167.7	LINC02206:SEMA4B	2	STAD:LUAD
SRC	LINC02206:MANBAL:SNHG17:PTPRT	4	UCS:BRCA:LUAD:STAD
NCOA1	AC087482.1:UBXN2A:FAM228B:CENPA:GOLGB1:PSD2	6	HNSC:SKCM:UCS:BRCA
AGBL1	AC087482.1	1	BRCA
IQCH	SMAD3:CTNND2	2	STAD:SARC
SNRNP40	MAP2K5:ADGRB2:SPOCD1:COL6A5	4	STAD:BLCA:CESC
PSMD8	MAP2K5:TJP3:MAP3K10	3	BLCA:UCS:BRCA
SNX9	MAP2K5:DAP:ZDHHC14:SERAC1	4	OV:BRCA:STAD:SARC
EVI5L	SKOR1:VAV1	2	CESC:BRCA
ARHGEF2	SKOR1:S100A7:MEX3A:PAQR6:CCT3:OVAAL:AGO3	7	LAML:BLCA:OV:UCEC:KIRC:LUSC
WSCD1	PIAS1:NLRP1:DAPK1	3	SARC:KIRC:KIRP
KIF23	PIAS1:PAQR5	2	LIHC:ESCA
LRRC6	ANP32A	1	BRCA
GLCE	EWSAT1:AL033397.2	2	LIHC:BRCA
DRAIC	GLCE	1	BRCA
TUBB2B	PAQR5	1	BRCA
GNG7	PAQR5:SGTA:TACC3	3	SARC:LGG:GBM
ABHD14B	RPLP1:RBM6:POC1A	3	ESCA:BRCA
TMC6	UACA:AC004707.1:FAM104A:TK1:DNAH17	5	PRAD:UCS:BRCA:OV:LUAD
TLE3	THAP10:C20orf96:YWHAH	3	HNSC:SARC:ESCA
SIN3A	THAP10:LOXL1-AS1:CYP11A1:SEMA7A:PTPN9:CSPG4:GOLGA6L10:AC013394.1:TERF2IP	9	STAD:SKCM:OV:COAD:ESCA:BRCA
INO80	THSD4:CYSTM1	2	OV:SARC
GRAMD2	PKM	1	HNSC
MYOF	PKM	1	ESCA
AP000777.3	PKM	1	CESC
MYO9A	PARP6:CELF6:AC009690.1:CRAMP1:GRB2:TMEM59	6	UCEC:BLCA:OV:BRCA
GKAP1	ARIH1	1	UCEC
HEXA	BBS4	1	LUSC
OLFM2	TBC1D21:CEP112:EIF3G:TMEM205:CRTC1:COL5A3:EXOSC10:PLEKHG4B	8	BRCA:STAD:OV:UCS:HNSC:UCEC:ACC
NPTN	AC010931.3:HMG20A:CLUAP1	3	OV:SKCM:BRCA
UBL7-AS1	CCDC33	1	OV
TMED1	AC023300.2	1	UCS
MGAT5B	CYP11A1:VMP1:RNF157-AS1	3	BLCA:KIRC:BRCA
SLMAP	CYP11A1:FAF1:DENND6A-AS1:CADM2-AS1:ELN	5	UCS:ESCA:LUAD:KIRP:BRCA
MAPK9	UBL7:DGKB	2	OV:PRAD
EDC3	CYP1A1:SNX29:SLC6A11	3	STAD:BRCA:TGCT
SEMA7A	COX5A	1	STAD
HMG20A	SCAMP5:RCN2	2	LIHC:LUSC
SPRED1	C15orf39:AP3B2	2	ESCA:READ
EFTUD2	SIN3A:KRT24:DUSP3:GFAP:C1QL1	5	PRAD:HNSC:KIRP:LUAD
MAN2C1	SIN3A:GAMT	2	BRCA:LAML:PRAD
PRKAA1	SIN3A:TBC1D5:RPL37	3	ESCA:LUAD:BRCA
MAPK14	SIN3A	1	SKCM
UBE2Q2	SNX33:ODF3L1:NRG4:SCAPER:EAF1-AS1	5	ESCA:BRCA
FBXO22	SNX33	1	BRCA
RSRP1	FBXO22:SDHB:SND1	3	PRAD:OV:STAD
CSK	TMEM266	1	SKCM
SCAPER	TMEM266:TSPAN3:PEAK1:LINGO1:CHRNB4:AC012409.2:LINC01524:CEP120	8	HNSC:SKCM:ESCA:OV:PRAD:BRCA:COAD
TNRC6C	SCAPER:APPBP2:RPTOR:PLCB4	4	BRCA:UVM
ARID1B	RCN2:GACAT2:PREP:NKAIN2:IL22RA2:SAMD5:SASH1:PLEKHG1:SYNE1:AL590867.1:TIAM2:TMEM242:EZR:ACAT2:PRKN:SMOC2:ENPP4:AL449403.1	18	SKCM:BRCA:LGG:OV:LUSC:GBM:STAD:HNSC:LUAD:UCEC:BLCA
CCDC33	RCN2	1	SKCM
ADAMTS7	PEAK1	1	SARC
ISL2	PEAK1	1	SKCM
NRG4	LINGO1	1	OV
IDH3A	SH2D7	1	HNSC
TBC1D2B	CIB2:ACSBG1:RASGRF1:AC092769.1:AL158207.2	5	LIHC:UCEC:OV:STAD:PRAD
HYKK	DNAJA4	1	LIHC
AC051619.6	DNAJA4:MYO18A	2	SKCM:SARC
AC018521.5	WDR61:MED24:CNTD1	3	UCEC:BRCA:BLCA
KIAA0355	AC090607.1:AC011507.1:SLC7A9:LSM14A	4	OV:STAD:SARC:BRCA
PPIE	PSMA4:MACF1	2	OV:SKCM:CESC
WEE1	CHRNA3	1	CESC
STK33	CHRNB4	1	MESO
DCAKD	ADAMTS7:PLCD3:SMAP1	3	PCPG:BRCA:SKCM
DSCR3	CTSH:MACROD2:BACH1:IGSF5	4	LIHC:BRCA
CTSH	RASGRF1	1	BRCA:KIRP:LUAD
DHRS7B	ANKRD34C-AS1	1	SARC
EFHC1	ZFAND6:ADGRL3:AL138826.1:IL17A	4	STAD:BRCA:PRAD:UCEC
ASB7	AC027808.1:DEXI	2	SARC:PRAD
FBN2	AC104041.1	1	SARC
TIPRL	EFL1:GLUL	2	SARC:BRCA
AC104041.1	CPEB1:NAA35	2	THCA:BLCA
RASGRF1	HOMER2	1	PRAD
AP3B2	HOMER2	1	PRAD
TMC3	C15orf40	1	LGG
RPS17	C15orf40	1	BRCA
HOMER2	TM6SF1:AC024270.1	2	OV:PRAD
PDE8A	BNC1:CIB1:SLCO3A1:ATF5	4	SKCM:BRCA:SARC
RGMA	ADAMTSL3	1	LGG
ITGA11	ADAMTSL3	1	SARC
BLM	ZNF592:ABHD2:WDR93:IQGAP1	4	STAD:SKCM
THBS1	AGBL1:NRG1	2	HNSC
PDE7A	AC020687.1:AC083923.2:NRG1:NKAIN3:TRIM55:VCPIP1:COPS5:PREX2	8	BRCA:HNSC
VPS18	NTRK3	1	COAD
EML4	NTRK3:ALK:PKDCC:EPHA3	4	PAAD:KIRP:LUAD:THCA:PCPG:ESCA
LYN	NTRK3:LOXL2:SHB	3	HNSC:KIRC:STAD
FAT1	NTRK3:IRF2:ACSL1:CFAP97:EPHA5-AS1	5	CESC:LUSC:HNSC:BLCA
DYNC1LI1	MRPS11	1	PRAD
ABHD2	ACAN:JUP	2	BRCA:PRAD
ST20-MTHFS	ACAN:AC125421.2	2	STAD:BRCA
MFGE8	RLBP1:IGF1R	2	PRAD:BRCA
DPH6-AS1	FANCI	1	SARC
FEZF1-AS1	MIR9-3HG	1	LGG
ZNF710	PLIN1:MIF-AS1	2	KIRC:SKCM
SNX18	WDR93	1	BRCA
PEX11A	MESP1	1	UCEC
CRTC3	MESP2:IQGAP1	2	UCS:BRCA:SKCM
NGRN	ZNF710	1	UCEC
ARPIN	IDH2	1	OV
RBM6	IDH2:TTC7A:DAG1:BSN:RNF123:FAM212A:TRAIP:LINC02008:NUP214	9	LUSC:SARC:BRCA:STAD:OV:THYM
ZNF774	AC091167.7	1	CESC
C16orf70	CRTC3:GNAO1:PDP2:DNAAF1:ARL16:MDFI	6	STAD:LIHC:ESCA:LUSC:OV
CPEB1	CRTC3	1	SKCM
GEMIN4	CRTC3	1	LUAD
RCCD1	BLM	1	LUAD
UNC45A	BLM:RALGAPB	2	LUAD:SKCM
CSTF1	BLM	1	SKCM
CDH11	PRC1:KIFC3:LINC00922	3	BRCA:SKCM
NHLRC2	PRC1-AS1	1	UCEC
SEC11A	VPS33B	1	SKCM
PRC1	SV2B	1	STAD
CLN3	C15orf32:SULT1A1	2	HNSC:LUSC
AKAP8L	AC013394.1:EFCAB3:WIZ:CHAF1A	4	ESCA:BRCA:SKCM:SARC
DLGAP4	RGMA:BPI:TP53TG5:TMEM189	4	UCEC:LUAD:UCS:KIRC
FAM174B	RGMA:PHF20	2	LUAD:UCEC
LRRC28	LINC01579	1	LUSC
OSBPL10	AC087633.2:STX8:CNN3:LINC00578:GPD1L:SUSD5:UBP1	7	STAD:UCS:LUSC:ESCA:SKCM:BLCA
CASD1	AC087636.1:VWC2	2	BRCA:GBM
STRBP	LINC01197:SP100:LINC02465:ASTN2:DENND1A:SLC35D2	6	STAD:ESCA:GBM:LUAD:OV:BRCA
AC018574.1	AC024337.1	1	BLCA
PXDN	AC087477.2	1	SARC
C10orf90	LINC02254:AC137579.2	2	SKCM:BRCA
AC026523.1	LINC00923	1	ACC
LINC02254	LINC00923	1	SKCM
DKC1	AC022523.1	1	BRCA
CHID1	IGF1R:CORO7:RRBP1	3	BRCA:GBM:LUAD
ARHGAP35	PGPEP1L:BAIAP2:SLC1A5:PCBP1-AS1:YWHAZ:AC022360.2	6	PCPG:STAD:CHOL:UCEC:BRCA:SARC
WDR72	AC036108.1:AC036108.2:IVNS1ABP:QRSL1	4	STAD
PBLD	LRRC28	1	BRCA
TTC23	LRRC28	1	LUAD
CLEC16A	NUBP1:CIITA:LITAF:TXNDC11:MMP25-AS1:AC009135.2:GRIN2A	7	STAD:OV:CESC:BRCA:BLCA
MARF1	DEXI:IQCK:EEF2K	3	LGG:BLCA
MKL2	CLEC16A:BCAR4:SNX29:SHISA9:ZNF200:RBFOX1	6	BRCA:LGG:OV
PLA2G10	CLEC16A	1	LUAD
CORO7	CLEC16A:RMI2:TRAF7:GFOD2	4	PRAD:ESCA:LGG
ATF7IP2	AC007014.1:AC010401.2:STYXL1	3	BRCA:OV
RMI2	CLEC16A	1	UCS
CCDC28A	CLEC16A:WASF2	2	LUAD:BRCA
GNL1	SOCS1:REPS1	2	CESC:SARC
TEKT5	RMI2	1	BRCA
POLR3E	RMI2	1	BRCA
ATXN2L	AC099489.1:PGP:SGF29:AC145285.2:CAPN2	5	BRCA:SARC:STAD
SLX4	LITAF:ADAM32	2	PRAD:BRCA
OSBPL2	LITAF:TPX2:EDEM2:DLGAP4:MTG2:ZNF70:PLD1:MARCH11	8	HNSC:LUAD:BRCA:UCEC:TGCT
EMP2	SNN:BCAR4:BFAR:TERF2:AGBL4	5	CESC:LUAD:BRCA:LUSC:UCEC
CDH13	TXNDC11	1	CESC
SOCS1	BCAR4:MYC	2	STAD:DLBC
AC009121.2	BCAR4	1	UCEC
TMC5	BCAR4:GPRC5B:JPT1	3	STAD:ESCA:LUAD
SBK1	BCAR4	1	BRCA
BOLA2	BCAR4	1	BRCA
ADGRG1	BCAR4:LINC02169	2	STAD:BRCA
PNRC2	BCAR4:BSDC1	2	STAD:LUSC
SRSF3	BCAR4:GNAS:PTCHD4	3	STAD:OV
CSNK1D	BCAR4:TAF15:SCPEP1:ASPSCR1:SECTM1:AC132938.1:OGFOD3	7	OV:ESCA:LUSC:UCEC:COAD:LIHC:LUAD:CESC:HNSC
SRRM2	BCAR4:PRSS33:AC003965.1:RPL18:SNRPE:AC091906.1	6	SKCM:HNSC:BRCA:THCA:PRAD:OV
GSPT1	NPIPB2:RBFOX1	2	STAD:BLCA
FBXL16	CACNA1H	1	BRCA
TMEM241	SNX29:ANKRD29:TTC39C:TAF4B:TRAPPC8:SERPINB7	6	LUAD:STAD:MESO:ESCA
MGRN1	SNX29:AXIN1:DNAJA3:C16orf96:MSI2:SYNPO	6	HNSC:LAML:STAD:LIHC:LUSC:SKCM:OV
SULT1A1	AC010333.2	1	STAD
USP7	AC010333.2:SMARCA2	2	GBM:BLCA
USP31	AC109597.1:ERI2:PRKCB:RHD:AL365204.2	5	STAD:PRAD:BLCA
CARHSP1	CPPED1:PRSS21:USP7	3	BRCA:LIHC:KIRC:ESCA
TSC2	UBE2I:TMEM204:MAPK8IP3:NPW	4	STAD:BRCA:LUSC
PKD1	UBE2I:ECI1:TIGD7:UCKL1:AL442647.1	5	CESC:STAD:OV:LIHC:BRCA
BFAR	U91319.1:MKL2:SPNS1	3	LUAD:OV:LGG
PPM1D	U91319.1:TRIM37:AC011921.1:EFCAB3	4	BRCA:KIRC
MSI2	U95743.1:EFCAB5:RNF135:HNF1B:CISD3:WIPF2:ARL17B:NPEPPS:SP2-AS1:PRR15L:HOXB-AS4:TOB1:UTP18:CA10:STXBP4:PCTP:TRIM25:AKAP1:TSPOAP1-AS1:RAD51C:YPEL2:DHX40:BCAS3:ICAM2:TEX2:SLC39A11:SYNPO2	27	LUAD:BRCA:STAD:COAD:UCS:LUSC:HNSC:ACC:BLCA
AC007014.1	AC010401.2	1	BRCA
ZNF598	AL032819.1:C16orf62	2	GBM:BLCA
FAM219A	MKL2:PAX5	2	LGG:BRCA
PAM16	MKL2:CORO7:CDIP1:PITPNM3	4	LUAD:BRCA:PCPG
HSP90AB1	MKL2:UTP11	2	ESCA:LUSC
NUPL2	PARN:EPCAM:DFNA5	3	BRCA:OV:STAD
C1orf174	CLCN7:RAD18	2	LIHC:HNSC
EDEM3	PARN:ZNF66:SMG7-AS1:HHAT:AL450990.1:AL031056.1	6	THCA:SARC:BLCA:PRAD:SKCM
MAPK8IP3	TELO2:JPT2	2	PRAD:UCEC
DCAF4	IFT140	1	OV
AXIN1	IFT140:FAM234A:MRPL28:TMEM8A:ITCH:BBX:TMEM207	7	BRCA:STAD:ESCA:OV:LUSC
ABCC1	AC140504.1:C16orf45:NDE1:PRKCB	4	CESC:THYM:PRAD
KLHL3	AC140504.1	1	OV
CRAMP1	TMEM204:IFT140:AL133297.2	3	SARC:ESCA:BRCA
ELOA	IFT140:KDM1A:ZCCHC11	3	BRCA:STAD:PRAD
CIB1	MYH11	1	STAD
RRN3	MYH11	1	SARC
CBFB	MYH11:NAE1:CES4A:COG4	4	LAML:ESCA:HNSC:LGG
NTAN1	MYH11	1	SARC
CNKSR3	MYH11:PLP1	2	STAD:SARC
NOMO1	MYH11	1	BRCA
IRF1	FOPNL	1	STAD
TRAF7	MAPK8IP3:WDR24:AP001496.1:SPRR2A:LRRC1	5	BLCA:LAML:LUAD:SARC:LUSC
ERI2	AC010601.1:DNAH3:TMEM159:CRYM	4	LUSC:OV:BLCA
SLC7A8	HAGH	1	OV
KIF1B	HAGH:NF1:MYO5B:AGTRAP:SHISA4:EPB41:RPL5:FAM58A	8	UCS:BLCA:BRCA:LUAD:UCEC:GBM:STAD:ACC
P4HTM	MEIOB	1	BRCA
TBL3	FAHD1	1	LIHC
NUDT16L1	FAHD1	1	GBM
SPSB3	MEIOB:ECI1:KLK2	3	BRCA:ESCA:PRAD
RPS15A	ARL6IP1:SMG1:AC009093.2	3	BRCA:LGG:SKCM:KIRP
NPRL3	LUC7L:KIFC2	2	BLCA:PAAD
RSL1D1	CCP110	1	BLCA
HAGH	RPS2:ZNF598	2	BRCA:STAD
FAM192A	C16orf62	1	BRCA
ABAT	C16orf62:PKMYT1:CARHSP1	3	BRCA:ESCA:LIHC
IQCK	C16orf62:CASC16	2	STAD:BLCA
NFATC2IP	C16orf62:HS3ST4:KIAA0556	3	BRCA:SARC
GLE1	KNOP1:SLC27A4	2	ESCA:SKCM
SEZ6L2	AC027130.1	1	ESCA
NUBP2	ZNF598:RHBDL1	2	OV:SARC
ACSM3	ACSM2A	1	LIHC
NOTCH2	ACSM2B:PSMA5:LINC01762:SPAG17:LINC00869:MNDA:AC117944.1:KYAT3:CWH43	9	KIRP:OV:SARC:HNSC:LUSC:LUAD:BLCA
IKBKE	ACSM1	1	KIRC
IGF2BP3	ACSM1:PRKCA	2	BRCA:LUSC
GNB1	TSC2:LINC01786:KIFAP3:CFAP74:AL391845.2:AL391845.1:FAAP20:LINC01226:OMA1:AP000459.1:ARHGAP39	11	ACC:LUSC:BRCA:OV:STAD:TGCT:LUAD:ESCA:BLCA:HNSC:GBM
FAM234A	LUC7L:AC009118.1	2	HNSC:READ
ATP9B	LUC7L:ZNF521:PARD6G:LILRA2:ATRX	5	SARC:ESCA:OV:LGG
TMEM159	DNAH3:NDUFAB1	2	BRCA:SARC
GNL2	DNAH3:SF3A3	2	BRCA:SKCM
UBFD1	TMEM159	1	LGG
HADH	ZP2:HPGD	2	PAAD:UCEC
TNRC6A	METTL9:PRKCB:LIX1L	3	LUSC:GBM:PCPG
BCL7C	OTOA:VKORC1:XPO1	3	BRCA:STAD:OV
CEP112	OTOA:FAM237A:DROSHA	3	BRCA:STAD
GSR	OTOA:CLU:CSMD1:RBPMS:PPP2CB:STMN2	6	LUSC:OV:KIRP:PRAD:KIRC
GINS4	UQCRC2	1	BRCA
CIITA	VWA3A:PRDM16	2	LUAD:DLBC
C16orf62	CDR2:YPEL3	2	PRAD:BRCA
ACTB	E4F1:CNN1:SKIL:SQSTM1:TAP1:PMS2:AC090204.1	7	LUAD:STAD:KIRC:LUSC
VOPP1	HS3ST2:LIX1L:RAPGEF5:AC074351.1	4	LUSC:LUAD:GBM
ATP8B1	COG7:LINC01897:SLC50A1	3	BRCA:STAD:KIRC:LIHC
PNLIP	GGA2:AMY2B	2	PAAD
PMM2	UBFD1:RBFOX1:ABAT	3	BRCA:STAD:SARC
DCTN5	AC008870.4	1	CESC
RNF40	PLK1:LCMT1-AS1:IL21R	3	BRCA:LUAD:LUSC
GGA2	ERN2:PRKCB:PPP5C	3	LUAD:LGG:OV
AC109460.3	PRKCB	1	LUAD
KIF22	PRKCB	1	ESCA
NMRAL1	PRKCB:DES	2	OV:STAD
TBC1D24	CCNF	1	HNSC
AC093525.1	CCNF	1	OV
NARFL	RBBP6:RPUSD1:GYS1	3	BRCA:OV:ESCA
SNURF	TNRC6A	1	OV
AC135048.1	LCMT1-AS2	1	SARC
FLYWCH2	ATP6V0C:SLC37A3	2	STAD:PRAD
KCTD5	PDPK1	1	SKCM
XYLT1	HS3ST4:QPRT:EEF2KMT:ABR:AC144836.1	5	SKCM:STAD:SARC
POLR2C	HS3ST4	1	OV
ADGRB2	HS3ST4	1	GBM
MAFK	KCTD5:SUN1	2	ESCA:PRAD
IL4R	NSMCE1:ACMSD	2	SKCM:STAD:SARC
NCALD	FLJ21408:UBR5:AC021546.1:SYBU:NSMCE2:LAPTM4B	6	LUAD:UCEC:OV:BRCA:LUSC:LGG
NSMCE1	IL4R	1	SKCM
WWP2	GSG1L:TANGO6:SNTB2:CYB5B:NFAT5:CDH13:TSEN54:Z83844.2:SNU13:TNPO3:AC105206.2	11	ESCA:LUSC:UCEC:OV:BLCA:LUAD:BRCA:STAD:PRAD:LIHC
FAM57B	GSG1L	1	BRCA
PRR14	GSG1L	1	BRCA
MPV17L	XPO6	1	LGG
KIAA0556	XPO6:LINC01837	2	STAD:LUSC
ASTN2	ARHGDIG:PNMT:CC2D1A:TNFAIP8L1:AC096577.1:C1QTNF3-AMACR:AKAP2:AL354754.1:AL512625.3:ZNF658:LINC01506	11	GBM:BRCA:PRAD:SKCM:ACC:KIRP:LGG
AC135050.2	SGF29	1	LGG
AC116366.3	SGF29:FAM192A:CTIF:C5orf56:TCOF1	5	ACC:STAD:UCEC:LIHC:BRCA
ATP2A1	ATXN2L	1	CESC
TMEM219	CD19	1	STAD
SLC37A3	FLYWCH2	1	PRAD
UNKL	FLYWCH1:STX8	2	LAML:BRCA
PHLPP2	KIF22	1	LUAD
AC120114.5	KIF22:RAB8A	2	HNSC:OV
MVP	KIF22:ZNF267	2	BRCA:LGG:HNSC
REL	MVP:MAN1A2:BCL11A	3	LUAD:LUSC:CESC
AC106886.2	MVP:GABBR2	2	BRCA
PPP4C	MVP:ALDOA	2	TGCT:OV
CDIPT	SEZ6L2	1	ESCA
TNFRSF12A	AC004233.2	1	BRCA
SLC31A1	TMEM219:HSDL2	2	KIRC:LIHC
ZNF771	TMEM219:ZNF48	2	THCA:BRCA
AC093515.1	FAM57B	1	BLCA
CRIP2	ALDOA:SERINC2	2	OV:BRCA
RBBP7	ALDOA:TTC24:NDUFAF4	3	OV:SARC
PKMYT1	CLDN6	1	BRCA
HSDL1	CORO1A	1	OV
NAA60	TNFRSF12A:THOC6:IST1	3	STAD:PRAD
SLC9A8	BICDL2:ZFAS1:PTGIS:RAE1	4	BRCA:STAD
ZNF512B	SEPT1	1	LIHC
ITGA9	ZNF48:HMOX2:SEC13:POPDC2:GOLGA4	5	TGCT:PRAD:LUAD:GBM:ACC
SPIDR	ZNF771:COX6B1:TGFB1:AL390729.1:DSCAM:POMGNT2:HNRNPDL:CSMD3:BLK:TG:SLA:ANK1:RGS20:DNAJC5B:KCNB2:CNBD1:LAPTM4B	17	SARC:LGG:OV:BLCA:ESCA:LUAD:DLBC:PRAD:COAD:BRCA:CESC
ZNF500	MMP25:ROGDI	2	BLCA:BRCA
ARHGEF3	PRR14:ACP6:ANO10:LTF:HESX1:ARF4:AC113385.1:CTNND2:RHAG	9	ESCA:BRCA:LUAD:STAD:PAAD:KIRC
NOMO2	PRR14:FBRS	2	BRCA
KRT20	FBRS:AC007731.1	2	ESCA:STAD
FBXL19	RNF40	1	CESC
