Gene stable ID	Gene name	number_of_domains
ENSG00000105675	ATP4A	5
ENSG00000105676	ARMC6	1
ENSG00000105677	TMEM147	1
ENSG00000105679	GAPDHS	2
ENSG00000105695	MAG	3
ENSG00000105696	TMEM59L	1
ENSG00000105697	HAMP	1
ENSG00000105698	USF2	1
ENSG00000105699	LSR	1
ENSG00000105700	KXD1	1
ENSG00000105701	FKBP8	2
ENSG00000105705	SUGP1	3
ENSG00000105707	HPN	2
ENSG00000105708	ZNF14	10
ENSG00000105711	SCN1B	1
ENSG00000105717	PBX4	2
ENSG00000105722	ERF	1
ENSG00000105723	GSK3A	1
ENSG00000105726	ATP13A1	2
ENSG00000105732	ZNF574	8
ENSG00000105737	GRIK5	3
ENSG00000105738	SIPA1L3	2
ENSG00000105750	ZNF85	11
ENSG00000105755	ETHE1	1
ENSG00000105767	CADM4	3
ENSG00000105771	SMG9	1
ENSG00000105778	AVL9	1
ENSG00000105784	RUNDC3B	1
ENSG00000105792	CFAP69	0
ENSG00000105793	GTPBP10	2
ENSG00000105808	RASA4	5
ENSG00000105810	CDK6	1
ENSG00000105819	PMPCB	2
ENSG00000105821	DNAJC2	4
ENSG00000105825	TFPI2	3
ENSG00000105829	BET1	0
ENSG00000105835	NAMPT	1
ENSG00000105849	TWISTNB	1
ENSG00000105851	PIK3CG	4
ENSG00000105852	PON3	1
ENSG00000105854	PON2	1
ENSG00000105855	ITGB8	3
ENSG00000105856	HBP1	2
ENSG00000105865	DUS4L	1
ENSG00000105866	SP4	1
ENSG00000105875	WDR91	1
ENSG00000105877	DNAH11	9
ENSG00000105879	CBLL1	0
ENSG00000105880	DLX5	2
ENSG00000105887	MTPN	1
ENSG00000105889	STEAP1B	1
ENSG00000105894	PTN	2
ENSG00000105926	MPP6	5
ENSG00000105928	DFNA5	1
ENSG00000105929	ATP6V0A4	1
ENSG00000105939	ZC3HAV1	2
ENSG00000105948	TTC26	1
ENSG00000105953	OGDH	4
ENSG00000105954	NPVF	0
ENSG00000105963	ADAP1	3
ENSG00000105967	TFEC	2
ENSG00000105968	H2AFV	2
ENSG00000105971	CAV2	1
ENSG00000105974	CAV1	1
ENSG00000105976	MET	6
ENSG00000105982	RNF32	3
ENSG00000105983	LMBR1	2
ENSG00000105989	WNT2	1
ENSG00000105991	HOXA1	1
ENSG00000105993	DNAJB6	1
ENSG00000105996	HOXA2	1
ENSG00000105997	HOXA3	2
ENSG00000106003	LFNG	1
ENSG00000106004	HOXA5	1
ENSG00000106006	HOXA6	1
ENSG00000106009	BRAT1	2
ENSG00000106012	IQCE	2
ENSG00000106013	ANKRD7	2
ENSG00000106018	VIPR2	2
ENSG00000106025	TSPAN12	1
ENSG00000106028	SSBP1	1
ENSG00000106031	HOXA13	2
ENSG00000106034	CPED1	1
ENSG00000106038	EVX1	1
ENSG00000106049	HIBADH	2
ENSG00000106052	TAX1BP1	1
ENSG00000106066	CPVL	1
ENSG00000106069	CHN2	3
ENSG00000106070	GRB10	4
ENSG00000106077	ABHD11	1
ENSG00000106078	COBL	4
ENSG00000106080	FKBP14	2
ENSG00000106086	PLEKHA8	2
ENSG00000106089	STX1A	2
ENSG00000106100	NOD1	6
ENSG00000106105	GARS	3
ENSG00000106113	CRHR2	2
ENSG00000106123	EPHB6	7
ENSG00000106125	MINDY4	1
ENSG00000106128	GHRHR	2
ENSG00000106144	CASP2	2
ENSG00000106153	CHCHD2	1
ENSG00000106178	CCL24	1
ENSG00000106211	HSPB1	1
ENSG00000106236	NPTX2	1
ENSG00000106244	PDAP1	1
ENSG00000106245	BUD31	2
ENSG00000106246	PTCD1	2
ENSG00000106258	CYP3A5	1
ENSG00000106261	ZKSCAN1	8
ENSG00000106263	EIF3B	2
ENSG00000106266	SNX8	1
ENSG00000106268	NUDT1	1
ENSG00000106278	PTPRZ1	4
ENSG00000106290	TAF6	2
ENSG00000106299	WASL	4
ENSG00000106302	HYAL4	1
ENSG00000106304	SPAM1	1
ENSG00000106305	AIMP2	2
ENSG00000106327	TFR2	2
ENSG00000106328	FSCN3	2
ENSG00000106330	MOSPD3	1
ENSG00000106331	PAX4	2
ENSG00000106333	PCOLCE	3
ENSG00000106336	FBXO24	2
ENSG00000106341	PPP1R17	0
ENSG00000106344	RBM28	3
ENSG00000106346	USP42	1
ENSG00000106348	IMPDH1	3
ENSG00000106351	AGFG2	1
ENSG00000106355	LSM5	1
ENSG00000106366	SERPINE1	1
ENSG00000106367	AP1S1	1
ENSG00000106384	MOGAT3	1
ENSG00000106392	C1GALT1	1
ENSG00000106397	PLOD3	1
ENSG00000106399	RPA3	1
ENSG00000106400	ZNHIT1	1
ENSG00000106404	CLDN15	2
ENSG00000106410	NOBOX	1
ENSG00000106415	GLCCI1	2
ENSG00000106436	MYL10	1
ENSG00000106443	PHF14	4
ENSG00000106459	NRF1	2
ENSG00000106460	TMEM106B	1
ENSG00000106462	EZH2	2
ENSG00000106477	CEP41	1
ENSG00000106479	ZNF862	3
ENSG00000106483	SFRP4	2
ENSG00000106484	MEST	1
ENSG00000106511	MEOX2	1
ENSG00000106524	ANKMY2	2
ENSG00000106526	ACTR3C	1
ENSG00000106536	POU6F2	3
ENSG00000106537	TSPAN13	1
ENSG00000106538	RARRES2	0
ENSG00000106541	AGR2	1
ENSG00000106546	AHR	3
ENSG00000106554	CHCHD3	2
ENSG00000106560	GIMAP2	1
ENSG00000106565	TMEM176B	1
ENSG00000106571	GLI3	0
ENSG00000106588	PSMA2	2
ENSG00000106591	MRPL32	1
ENSG00000106603	COA1	1
ENSG00000106605	BLVRA	2
ENSG00000106608	URGCP	0
ENSG00000106609	TMEM248	1
ENSG00000106615	RHEB	1
ENSG00000106617	PRKAG2	3
ENSG00000106624	AEBP1	3
ENSG00000106628	POLD2	1
ENSG00000106631	MYL7	1
ENSG00000106633	GCK	2
ENSG00000106635	BCL7B	1
ENSG00000106636	YKT6	2
ENSG00000106638	TBL2	2
ENSG00000106648	GALNTL5	1
ENSG00000106665	CLIP2	2
ENSG00000106682	EIF4H	1
ENSG00000106683	LIMK1	4
ENSG00000106686	SPATA6L	2
ENSG00000106688	SLC1A1	1
ENSG00000106689	LHX2	3
ENSG00000106692	FKTN	1
ENSG00000106701	FSD1L	1
ENSG00000106714	CNTNAP3	6
ENSG00000106723	SPIN1	3
ENSG00000106733	NMRK1	1
ENSG00000106771	TMEM245	1
ENSG00000106772	PRUNE2	3
ENSG00000106780	MEGF9	5
ENSG00000106785	TRIM14	3
ENSG00000106789	CORO2A	4
ENSG00000106799	TGFBR1	3
ENSG00000106803	SEC61B	1
ENSG00000106804	C5	7
ENSG00000106809	OGN	1
ENSG00000106819	ASPN	3
ENSG00000106823	ECM2	4
ENSG00000106829	TLE4	3
ENSG00000106852	LHX6	3
ENSG00000106853	PTGR1	2
ENSG00000106868	SUSD1	4
ENSG00000106927	AMBP	3
ENSG00000106948	AKNA	1
ENSG00000106952	TNFSF8	1
ENSG00000106976	DNM1	5
ENSG00000106991	ENG	1
ENSG00000106992	AK1	1
ENSG00000106993	CDC37L1	1
ENSG00000107014	RLN2	1
ENSG00000107018	RLN1	1
ENSG00000107020	PLGRKT	1
ENSG00000107021	TBC1D13	1
ENSG00000107036	RIC1	1
ENSG00000107077	KDM4C	4
ENSG00000107099	DOCK8	3
ENSG00000107104	KANK1	3
ENSG00000107105	ELAVL2	3
ENSG00000107130	NCS1	2
ENSG00000107140	TESK1	1
ENSG00000107147	KCNT1	2
ENSG00000107159	CA9	1
ENSG00000107164	FUBP3	4
ENSG00000107165	TYRP1	1
ENSG00000107175	CREB3	1
ENSG00000107185	RGP1	2
ENSG00000107186	MPDZ	14
ENSG00000107187	LHX3	3
ENSG00000107201	DDX58	5
ENSG00000107223	EDF1	2
ENSG00000107242	PIP5K1B	1
ENSG00000107249	GLIS3	0
ENSG00000107262	BAG1	2
ENSG00000107263	RAPGEF1	2
ENSG00000107281	NPDC1	1
ENSG00000107282	APBA1	3
ENSG00000107290	SETX	2
ENSG00000107295	SH3GL2	2
ENSG00000107317	PTGDS	2
ENSG00000107331	ABCA2	4
ENSG00000107338	SHB	1
ENSG00000107341	UBE2R2	1
ENSG00000107362	ABHD17B	1
ENSG00000107371	EXOSC3	1
ENSG00000107372	ZFAND5	2
ENSG00000107404	DVL1	5
ENSG00000107438	PDLIM1	3
ENSG00000107443	CCNJ	2
ENSG00000107447	DNTT	5
ENSG00000107485	GATA3	2
ENSG00000107518	ATRNL1	9
ENSG00000107521	HPS1	0
ENSG00000107537	PHYH	1
ENSG00000107551	RASSF4	2
ENSG00000107554	DNMBP	7
ENSG00000107560	RAB11FIP2	2
ENSG00000107562	CXCL12	1
ENSG00000107566	ERLIN1	1
ENSG00000107581	EIF3A	1
ENSG00000107593	PKD2L1	1
ENSG00000107611	CUBN	34
ENSG00000107614	TRDMT1	2
ENSG00000107625	DDX50	3
ENSG00000107643	MAPK8	1
ENSG00000107651	SEC23IP	2
ENSG00000107669	ATE1	2
ENSG00000107672	NSMCE4A	2
ENSG00000107679	PLEKHA1	2
ENSG00000107719	PALD1	2
ENSG00000107731	UNC5B	6
ENSG00000107736	CDH23	24
ENSG00000107738	VSIR	1
ENSG00000107742	SPOCK2	3
ENSG00000107745	MICU1	2
ENSG00000107758	PPP3CB	1
ENSG00000107771	CCSER2	0
ENSG00000107779	BMPR1A	3
ENSG00000107789	MINPP1	1
ENSG00000107796	ACTA2	1
ENSG00000107798	LIPA	1
ENSG00000107807	TLX1	1
ENSG00000107815	TWNK	1
ENSG00000107816	LZTS2	1
ENSG00000107819	SFXN3	1
ENSG00000107821	KAZALD1	3
ENSG00000107829	FBXW4	3
ENSG00000107831	FGF8	1
ENSG00000107833	NPM3	1
ENSG00000107854	TNKS2	11
ENSG00000107859	PITX3	2
ENSG00000107862	GBF1	2
ENSG00000107863	ARHGAP21	3
ENSG00000107864	CPEB3	2
ENSG00000107872	FBXL15	2
ENSG00000107874	CUEDC2	1
ENSG00000107882	SUFU	2
ENSG00000107890	ANKRD26	5
ENSG00000107897	ACBD5	1
ENSG00000107902	LHPP	2
ENSG00000107929	LARP4B	1
ENSG00000107937	GTPBP4	2
ENSG00000107938	EDRF1	0
ENSG00000107949	BCCIP	1
ENSG00000107951	MTPAP	1
ENSG00000107954	NEURL1	3
ENSG00000107957	SH3PXD2A	5
ENSG00000107959	PITRM1	5
ENSG00000107960	STN1	2
ENSG00000107968	MAP3K8	1
ENSG00000107984	DKK1	1
ENSG00000108001	EBF3	3
ENSG00000108010	GLRX3	3
ENSG00000108018	SORCS1	3
ENSG00000108021	FAM208B	3
ENSG00000108039	XPNPEP1	5
ENSG00000108055	SMC3	2
ENSG00000108061	SHOC2	4
ENSG00000108064	TFAM	2
ENSG00000108091	CCDC6	1
ENSG00000108094	CUL2	2
ENSG00000108100	CCNY	1
ENSG00000108106	UBE2S	1
ENSG00000108107	RPL28	1
ENSG00000108175	ZMIZ1	1
ENSG00000108176	DNAJC12	1
ENSG00000108179	PPIF	1
ENSG00000108187	PBLD	1
ENSG00000108219	TSPAN14	2
ENSG00000108231	LGI1	8
ENSG00000108239	TBC1D12	1
ENSG00000108242	CYP2C18	2
ENSG00000108244	KRT23	1
ENSG00000108255	CRYBA1	2
ENSG00000108256	NUFIP2	1
ENSG00000108262	GIT1	6
ENSG00000108298	RPL19	1
ENSG00000108306	FBXL20	5
ENSG00000108309	RUNDC3A	1
ENSG00000108312	UBTF	5
ENSG00000108342	CSF3	1
ENSG00000108344	PSMD3	2
ENSG00000108349	CASC3	1
ENSG00000108352	RAPGEFL1	1
ENSG00000108370	RGS9	3
ENSG00000108375	RNF43	1
ENSG00000108379	WNT3	1
ENSG00000108381	ASPA	1
ENSG00000108384	RAD51C	1
ENSG00000108387	SEPT4	1
ENSG00000108389	MTMR4	2
ENSG00000108395	TRIM37	2
ENSG00000108405	P2RX1	1
ENSG00000108406	DHX40	4
ENSG00000108417	KRT37	1
ENSG00000108423	TUBD1	1
ENSG00000108424	KPNB1	2
ENSG00000108433	GOSR2	1
ENSG00000108439	PNPO	2
ENSG00000108443	RPS6KB1	2
ENSG00000108448	TRIM16L	2
ENSG00000108465	CDK5RAP3	1
ENSG00000108468	CBX1	2
ENSG00000108469	RECQL5	4
ENSG00000108474	PIGL	1
ENSG00000108479	GALK1	3
ENSG00000108506	INTS2	1
ENSG00000108509	CAMTA2	2
ENSG00000108510	MED13	2
ENSG00000108511	HOXB6	1
ENSG00000108515	ENO3	2
ENSG00000108518	PFN1	1
ENSG00000108523	RNF167	2
ENSG00000108528	SLC25A11	3
ENSG00000108551	RASD1	1
ENSG00000108556	CHRNE	2
ENSG00000108557	RAI1	1
ENSG00000108559	NUP88	1
ENSG00000108561	C1QBP	1
ENSG00000108576	SLC6A4	2
ENSG00000108578	BLMH	1
ENSG00000108582	CPD	6
ENSG00000108587	GOSR1	1
ENSG00000108588	CCDC47	1
ENSG00000108590	MED31	1
ENSG00000108591	DRG2	3
ENSG00000108592	FTSJ3	3
ENSG00000108599	AKAP10	2
ENSG00000108602	ALDH3A1	1
ENSG00000108604	SMARCD2	1
ENSG00000108622	ICAM2	1
ENSG00000108639	SYNGR2	1
ENSG00000108641	B9D1	1
ENSG00000108651	UTP6	1
ENSG00000108654	DDX5	4
ENSG00000108666	C17orf75	1
ENSG00000108669	CYTH1	2
ENSG00000108671	PSMD11	1
ENSG00000108679	LGALS3BP	2
ENSG00000108684	ASIC2	1
ENSG00000108688	CCL7	1
ENSG00000108691	CCL2	1
ENSG00000108700	CCL8	1
ENSG00000108702	CCL1	1
ENSG00000108733	PEX12	1
ENSG00000108759	KRT32	1
ENSG00000108771	DHX58	3
ENSG00000108773	KAT2A	3
ENSG00000108774	RAB5C	1
ENSG00000108784	NAGLU	3
ENSG00000108786	HSD17B1	1
ENSG00000108788	MLX	1
ENSG00000108797	CNTNAP1	5
ENSG00000108798	ABI3	2
ENSG00000108799	EZH1	2
ENSG00000108813	DLX4	1
ENSG00000108819	PPP1R9B	1
ENSG00000108821	COL1A1	14
ENSG00000108823	SGCA	1
ENSG00000108825	PTGES3L-AARSD1	2
ENSG00000108826	MRPL27	1
ENSG00000108828	VAT1	2
ENSG00000108829	LRRC59	1
ENSG00000108830	RND2	1
ENSG00000108839	ALOX12	2
ENSG00000108840	HDAC5	2
ENSG00000108846	ABCC3	4
ENSG00000108848	LUC7L3	1
ENSG00000108849	PPY	1
ENSG00000108852	MPP2	5
ENSG00000108854	SMURF2	5
ENSG00000108861	DUSP3	1
ENSG00000108878	CACNG1	1
ENSG00000108883	EFTUD2	6
ENSG00000108924	HLF	1
ENSG00000108932	SLC16A6	1
ENSG00000108946	PRKAR1A	3
ENSG00000108947	EFNB3	1
ENSG00000108950	FAM20A	1
ENSG00000108953	YWHAE	1
ENSG00000108960	MMD	1
ENSG00000108961	RANGRF	1
ENSG00000108963	DPH1	1
ENSG00000108984	MAP2K6	1
ENSG00000109016	DHRS7B	1
ENSG00000109046	WSB1	6
ENSG00000109047	RCVRN	2
ENSG00000109061	MYH1	3
ENSG00000109062	SLC9A3R1	3
ENSG00000109063	MYH3	3
ENSG00000109065	NAT9	1
ENSG00000109066	TMEM104	2
ENSG00000109072	VTN	5
ENSG00000109079	TNFAIP1	1
ENSG00000109083	IFT20	1
ENSG00000109084	TMEM97	1
ENSG00000109089	CDR2L	0
ENSG00000109099	PMP22	1
ENSG00000109101	FOXN1	1
ENSG00000109103	UNC119	1
ENSG00000109107	ALDOC	1
ENSG00000109111	SUPT6H	7
ENSG00000109113	RAB34	1
ENSG00000109118	PHF12	3
ENSG00000109132	PHOX2B	1
ENSG00000109133	TMEM33	1
ENSG00000109158	GABRA4	2
ENSG00000109163	GNRHR	1
ENSG00000109171	SLAIN2	1
ENSG00000109180	OCIAD1	1
ENSG00000109181	UGT2B10	1
ENSG00000109182	CWH43	0
ENSG00000109184	DCUN1D4	1
ENSG00000109189	USP46	1
ENSG00000109193	SULT1E1	1
ENSG00000109205	ODAM	1
ENSG00000109208	SMR3A	1
ENSG00000109220	CHIC2	1
ENSG00000109255	NMU	1
ENSG00000109265	KIAA1211	1
ENSG00000109270	LAMTOR3	1
ENSG00000109272	PF4V1	1
ENSG00000109320	NFKB1	5
ENSG00000109321	AREG	0
ENSG00000109323	MANBA	1
ENSG00000109332	UBE2D3	1
ENSG00000109339	MAPK10	1
ENSG00000109381	ELF2	2
ENSG00000109390	NDUFC1	1
ENSG00000109424	UCP1	3
ENSG00000109436	TBC1D9	3
ENSG00000109445	ZNF330	1
ENSG00000109452	INPP4B	0
ENSG00000109458	GAB1	1
ENSG00000109466	KLHL2	8
ENSG00000109471	IL2	1
ENSG00000109472	CPE	2
ENSG00000109475	RPL34	1
ENSG00000109501	WFS1	0
ENSG00000109511	ANXA10	4
ENSG00000109519	GRPEL1	1
ENSG00000109534	GAR1	1
ENSG00000109536	FRG1	1
ENSG00000109572	CLCN3	4
ENSG00000109576	AADAT	1
ENSG00000109586	GALNT7	2
ENSG00000109606	DHX15	4
ENSG00000109610	SOD3	1
ENSG00000109618	SEPSECS	1
ENSG00000109625	CPZ	3
ENSG00000109654	TRIM2	9
ENSG00000109667	SLC2A9	1
ENSG00000109670	FBXW7	8
ENSG00000109674	NEIL3	4
ENSG00000109680	TBC1D19	1
ENSG00000109684	CLNK	1
ENSG00000109685	NSD2	4
ENSG00000109686	SH3D19	5
ENSG00000109689	STIM2	2
ENSG00000109705	NKX3-2	1
ENSG00000109736	MFSD10	1
ENSG00000109738	GLRB	2
ENSG00000109743	BST1	1
ENSG00000109756	RAPGEF2	4
ENSG00000109758	HGFAC	5
ENSG00000109762	SNX25	4
ENSG00000109771	LRP2BP	5
ENSG00000109775	UFSP2	1
ENSG00000109787	KLF3	1
ENSG00000109790	KLHL5	8
ENSG00000109794	FAM149A	1
ENSG00000109805	NCAPG	1
ENSG00000109814	UGDH	3
ENSG00000109819	PPARGC1A	1
ENSG00000109832	DDX25	3
ENSG00000109846	CRYAB	2
ENSG00000109851	DBX1	1
ENSG00000109854	HTATIP2	1
ENSG00000109861	CTSC	2
ENSG00000109881	CCDC34	1
ENSG00000109906	ZBTB16	3
ENSG00000109911	ELP4	2
ENSG00000109917	ZPR1	2
ENSG00000109919	MTCH2	1
ENSG00000109920	FNBP4	2
ENSG00000109927	TECTA	15
ENSG00000109929	SC5D	1
ENSG00000109943	CRTAM	2
ENSG00000109944	C11orf63	1
ENSG00000109956	B3GAT1	1
ENSG00000109971	HSPA8	2
ENSG00000109991	P2RX3	1
ENSG00000110002	VWA5A	2
ENSG00000110011	DNAJC4	1
ENSG00000110013	SIAE	1
ENSG00000110025	SNX15	2
ENSG00000110031	LPXN	4
ENSG00000110042	DTX4	3
ENSG00000110046	ATG2A	3
ENSG00000110047	EHD1	3
ENSG00000110048	OSBP	2
ENSG00000110057	UNC93B1	1
ENSG00000110060	PUS3	1
ENSG00000110063	DCPS	2
ENSG00000110066	KMT5B	1
ENSG00000110074	FOXRED1	1
ENSG00000110075	PPP6R3	2
ENSG00000110076	NRXN2	7
ENSG00000110077	MS4A6A	1
ENSG00000110079	MS4A4A	1
ENSG00000110080	ST3GAL4	1
ENSG00000110090	CPT1A	2
ENSG00000110092	CCND1	2
ENSG00000110104	CCDC86	1
ENSG00000110107	PRPF19	7
ENSG00000110108	TMEM109	1
ENSG00000110148	CCKBR	1
ENSG00000110169	HPX	5
ENSG00000110171	TRIM3	9
ENSG00000110172	CHORDC1	3
ENSG00000110195	FOLR1	1
ENSG00000110200	ANAPC15	1
ENSG00000110203	FOLR3	1
ENSG00000110218	PANX1	1
ENSG00000110237	ARHGEF17	1
ENSG00000110243	APOA5	2
ENSG00000110244	APOA4	3
ENSG00000110245	APOC3	1
ENSG00000110274	CEP164	1
ENSG00000110315	RNF141	1
ENSG00000110318	CEP126	1
ENSG00000110321	EIF4G2	3
ENSG00000110324	IL10RA	1
ENSG00000110328	GALNT18	2
ENSG00000110330	BIRC2	5
ENSG00000110344	UBE4A	2
ENSG00000110367	DDX6	2
ENSG00000110375	UPK2	1
ENSG00000110395	CBL	5
ENSG00000110400	NECTIN1	3
ENSG00000110422	HIPK3	1
ENSG00000110427	KIAA1549L	1
ENSG00000110429	FBXO3	3
ENSG00000110435	PDHX	3
ENSG00000110436	SLC1A2	1
ENSG00000110442	COMMD9	1
ENSG00000110446	SLC15A3	1
ENSG00000110448	CD5	1
ENSG00000110455	ACCS	1
ENSG00000110484	SCGB2A2	1
ENSG00000110492	MDK	2
ENSG00000110497	AMBRA1	0
ENSG00000110514	MADD	2
ENSG00000110536	PTPMT1	1
ENSG00000110583	NAA40	1
ENSG00000110619	CARS	1
ENSG00000110628	SLC22A18	1
ENSG00000110651	CD81	1
ENSG00000110660	SLC35F2	1
ENSG00000110665	C11orf21	1
ENSG00000110675	ELMOD1	1
ENSG00000110680	CALCA	1
ENSG00000110693	SOX6	1
ENSG00000110696	C11orf58	1
ENSG00000110697	PITPNM1	3
ENSG00000110700	RPS13	2
ENSG00000110711	AIP	1
ENSG00000110713	NUP98	3
ENSG00000110717	NDUFS8	1
ENSG00000110719	TCIRG1	1
ENSG00000110721	CHKA	1
ENSG00000110723	EXPH5	0
ENSG00000110756	HPS5	0
ENSG00000110768	GTF2H1	2
ENSG00000110777	POU2AF1	1
ENSG00000110786	PTPN5	1
ENSG00000110799	VWF	20
ENSG00000110801	PSMD9	1
ENSG00000110811	P3H3	1
ENSG00000110841	PPFIBP1	3
ENSG00000110844	PRPF40B	4
ENSG00000110848	CD69	1
ENSG00000110851	PRDM4	2
ENSG00000110852	CLEC2B	1
ENSG00000110871	COQ5	2
ENSG00000110876	SELPLG	0
ENSG00000110880	CORO1C	5
ENSG00000110881	ASIC1	1
ENSG00000110887	DAO	2
ENSG00000110888	CAPRIN2	3
ENSG00000110900	TSPAN11	1
ENSG00000110906	KCTD10	1
ENSG00000110911	SLC11A2	1
ENSG00000110917	MLEC	1
ENSG00000110921	MVK	2
ENSG00000110925	CSRNP2	1
ENSG00000110931	CAMKK2	1
ENSG00000110934	BIN2	2
ENSG00000110944	IL23A	1
ENSG00000110955	ATP5B	3
ENSG00000110958	PTGES3	1
ENSG00000110975	SYT10	2
ENSG00000110987	BCL7A	1
ENSG00000111011	RSRC2	1
ENSG00000111012	CYP27B1	1
ENSG00000111046	MYF6	2
ENSG00000111049	MYF5	3
ENSG00000111052	LIN7A	2
ENSG00000111057	KRT18	1
ENSG00000111058	ACSS3	3
ENSG00000111077	TNS2	3
ENSG00000111087	GLI1	1
ENSG00000111110	PPM1H	2
ENSG00000111142	METAP2	1
ENSG00000111144	LTA4H	2
ENSG00000111145	ELK3	1
ENSG00000111181	SLC6A12	1
ENSG00000111186	WNT5B	1
ENSG00000111196	MAGOHB	1
ENSG00000111199	TRPV4	2
ENSG00000111203	ITFG2	1
ENSG00000111206	FOXM1	1
ENSG00000111215	PRR4	1
ENSG00000111218	PRMT8	1
ENSG00000111224	PARP11	2
ENSG00000111229	ARPC3	1
ENSG00000111231	GPN3	1
ENSG00000111237	VPS29	1
ENSG00000111241	FGF6	1
ENSG00000111245	MYL2	1
ENSG00000111247	RAD51AP1	1
ENSG00000111249	CUX2	4
ENSG00000111252	SH2B3	3
ENSG00000111254	AKAP3	2
ENSG00000111261	MANSC1	1
ENSG00000111262	KCNA1	2
ENSG00000111266	DUSP16	2
ENSG00000111269	CREBL2	1
ENSG00000111271	ACAD10	5
ENSG00000111275	ALDH2	1
ENSG00000111276	CDKN1B	1
ENSG00000111291	GPRC5D	1
ENSG00000111300	NAA25	1
ENSG00000111305	GSG1	1
ENSG00000111319	SCNN1A	1
ENSG00000111321	LTBR	3
ENSG00000111325	OGFOD2	0
ENSG00000111328	CDK2AP1	1
ENSG00000111331	OAS3	4
ENSG00000111335	OAS2	3
ENSG00000111339	ART4	1
ENSG00000111341	MGP	0
ENSG00000111344	RASAL1	5
ENSG00000111348	ARHGDIB	1
ENSG00000111358	GTF2H3	2
ENSG00000111361	EIF2B1	1
ENSG00000111364	DDX55	3
ENSG00000111371	SLC38A1	1
ENSG00000111404	RERGL	1
ENSG00000111405	ENDOU	3
ENSG00000111412	C12orf49	1
ENSG00000111424	VDR	2
ENSG00000111432	FZD10	2
ENSG00000111445	RFC5	2
ENSG00000111450	STX2	2
ENSG00000111452	ADGRD1	3
ENSG00000111481	COPZ1	2
ENSG00000111490	TBC1D30	2
ENSG00000111530	CAND1	1
ENSG00000111536	IL26	1
ENSG00000111537	IFNG	1
ENSG00000111540	RAB5B	1
ENSG00000111554	MDM1	1
ENSG00000111581	NUP107	2
ENSG00000111596	CNOT2	1
ENSG00000111602	TIMELESS	2
ENSG00000111605	CPSF6	1
ENSG00000111615	KRR1	0
ENSG00000111639	MRPL51	1
ENSG00000111640	GAPDH	2
ENSG00000111641	NOP2	5
ENSG00000111642	CHD4	9
ENSG00000111644	ACRBP	2
ENSG00000111647	UHRF1BP1L	1
ENSG00000111652	COPS7A	1
ENSG00000111653	ING4	1
ENSG00000111664	GNB3	7
ENSG00000111665	CDCA3	0
ENSG00000111666	CHPT1	1
ENSG00000111667	USP5	4
ENSG00000111669	TPI1	1
ENSG00000111670	GNPTAB	7
ENSG00000111671	SPSB2	2
ENSG00000111674	ENO2	2
ENSG00000111676	ATN1	2
ENSG00000111678	C12orf57	2
ENSG00000111679	PTPN6	3
ENSG00000111684	LPCAT3	1
ENSG00000111696	NT5DC3	1
ENSG00000111700	SLCO1B3	2
ENSG00000111701	APOBEC1	1
ENSG00000111704	NANOG	1
ENSG00000111707	SUDS3	1
ENSG00000111711	GOLT1B	1
ENSG00000111713	GYS2	1
ENSG00000111716	LDHB	2
ENSG00000111725	PRKAB1	2
ENSG00000111726	CMAS	1
ENSG00000111727	HCFC2	4
ENSG00000111728	ST8SIA1	1
ENSG00000111729	CLEC4A	1
ENSG00000111731	C2CD5	1
ENSG00000111732	AICDA	1
ENSG00000111737	RAB35	1
ENSG00000111752	PHC1	2
ENSG00000111775	COX6A1	1
ENSG00000111780	AL021546.1	1
ENSG00000111783	RFX4	1
ENSG00000111785	RIC8B	1
ENSG00000111786	SRSF9	2
ENSG00000111790	FGFR1OP2	1
ENSG00000111796	KLRB1	1
ENSG00000111799	COL12A1	26
ENSG00000111801	BTN3A3	3
ENSG00000111802	TDP2	2
ENSG00000111816	FRK	3
ENSG00000111817	DSE	1
ENSG00000111832	RWDD1	2
ENSG00000111834	RSPH4A	2
ENSG00000111837	MAK	1
ENSG00000111843	TMEM14C	1
ENSG00000111845	PAK1IP1	3
ENSG00000111846	GCNT2	1
ENSG00000111850	SMIM8	1
ENSG00000111859	NEDD9	3
ENSG00000111860	CEP85L	0
ENSG00000111863	ADTRP	1
ENSG00000111875	ASF1A	1
ENSG00000111877	MCM9	2
ENSG00000111879	FAM184A	1
ENSG00000111880	RNGTT	3
ENSG00000111885	MAN1A1	1
ENSG00000111886	GABRR2	2
ENSG00000111897	SERINC1	1
ENSG00000111906	HDDC2	1
ENSG00000111907	TPD52L1	1
ENSG00000111911	HINT3	1
ENSG00000111912	NCOA7	2
ENSG00000111913	RIPOR2	1
ENSG00000111961	SASH1	4
ENSG00000111962	UST	1
ENSG00000111981	ULBP1	1
ENSG00000112029	FBXO5	1
ENSG00000112031	MTRF1L	3
ENSG00000112033	PPARD	2
ENSG00000112038	OPRM1	1
ENSG00000112039	FANCE	1
ENSG00000112041	TULP1	1
ENSG00000112053	SLC26A8	2
ENSG00000112062	MAPK14	1
ENSG00000112077	RHAG	1
ENSG00000112078	KCTD20	1
ENSG00000112079	STK38	2
ENSG00000112081	SRSF3	1
ENSG00000112096	SOD2	2
ENSG00000112110	MRPL18	1
ENSG00000112115	IL17A	1
ENSG00000112116	IL17F	1
ENSG00000112118	MCM3	3
