Cancer,TCGA_barcode,Gene_A,Gene_B,Chr_A,Chr_B,Strand_A,Strand_B,Discordant_Pairs,JSR,perfect_JSR,Evalue,Junction_A,Junction_B,Tier,Frame,TN,WGS_validation,Centrality,liftover_pos1,liftover_pos2
BLCA,K4-A3WU-01B,HPGD,GUCY1A3,4,4,-1,1,31,18,16,0.039,175443095,156629388,tier1,Out-of-frame,7949,NA,0.34857,174521944,155708236
BLCA,K4-A3WU-01B,NEK7,CADM3,1,1,1,1,3,1,1,0.55,198233365,159161726,tier2,Out-of-frame,11359,NA,0.36695,198264235,159191936
BLCA,K4-A3WU-01B,ST6GALNAC2,BRIP1,17,17,-1,-1,2,2,2,4.2,74574838,59820495,tier3,Out-of-frame,16951,NA,NA,76578756,61743134
BLCA,K4-A3WU-01B,TOP3A,ZCCHC8,17,12,-1,-1,3,1,1,2.1,18198017,122977336,tier3,CDS-5UTR,18452,NA,NA,18294703,122492789
BLCA,K4-A3WU-01B,XPR1,ARHGEF11,1,1,1,-1,2,1,1,0.17,180651547,156955965,tier3,Out-of-frame,19971,NA,NA,180682411,156986173
BLCA,K4-A3WU-01B,ZCCHC8,TOP3A,12,17,-1,-1,36,26,20,2.1,122984520,18196166,tier1,NA,20189,NA,NA,122499973,18292852
BLCA,K4-A3WV-01A,BRAF,MRPS33,7,7,-1,-1,36,8,7,0.26,140624366,140710460,tier1,CDS-5UTR,2186,NA,0.38674,140924566,141010660
BLCA,K4-A3WV-01A,MORC3,DOPEY2,21,21,1,1,37,17,17,4.1,37717329,37642311,tier1,In-frame,10575,NA,0.34563,36345031,36270013
BLCA,K4-A3WV-01A,PLEKHH1,GPHN,14,14,1,1,10,9,7,1,68028752,67525366,tier1,In-frame,13028,NA,0.36194,67562035,67058649
BLCA,K4-A3WV-01A,SEPT6,CUL4B,X,X,-1,-1,3,3,2,2.9,118763281,119708485,tier1,CDS-5UTR,15598,NA,NA,119629318,120574630
BLCA,K4-A3WV-01A,SPEN,FBLIM1,1,1,1,1,5,8,8,0.46,16203173,16090991,tier1,CDS-5UTR,16713,NA,NA,15876678,15764496
BLCA,K4-A3WV-01A,WIPF2,MSL1,17,17,1,1,11,5,5,0.33,38375744,38282436,tier1,5UTR-5UTR,19868,NA,NA,40219492,40126183
BLCA,K4-A3WV-01A,GMDS,MRPS18B,6,6,-1,1,22,13,12,1.2,1726650,30590609,tier1,In-frame,7146,NA,0.3502,1726416,30622832
BLCA,K4-A3WV-01A,JARID2,PPP1R10,6,6,1,-1,94,61,57,0.076,15374483,30584775,tier1,CDS-5UTR,8485,NA,0.3632,15374252,30616998
BLCA,K4-A3WV-01A,LRRC16A,CTSW,6,11,1,1,18,10,9,0.9,25581667,65648878,tier1,Out-of-frame,9563,NA,0.34644,25581439,65881407
BLCA,K4-A4AC-01A,ABL2,XRRA1,1,11,-1,-1,3,2,1,0.71,179198376,74559507,tier4,Out-of-frame,116,NA,0.38448,179229241,74848462
BLCA,K4-A4AC-01A,EPN2,MAP2K3,17,17,1,1,24,39,36,1.4,19140844,21201725,tier1,5UTR-CDS,5689,NA,0.39068,19237531,21298413
BLCA,K4-A4AC-01A,SLC7A1,CDX2,13,13,-1,-1,50,21,19,0.096,30127898,28539152,tier1,5UTR-CDS,16286,NA,NA,29553761,27965015
BLCA,K4-A4AC-01A,VPS13B,C8orf56,8,8,1,-1,50,24,21,0.85,100454863,104145597,tier1,CDS-5UTR,19610,NA,NA,99442635,103133369
BLCA,K4-A4AC-01A,ZFYVE26,RBM25,14,14,-1,1,2,2,2,0.13,68282487,73554709,tier3,Out-of-frame,20300,NA,NA,67815770,73088001
BLCA,K4-A5RH-01A,ARHGEF2,S100A7,1,1,-1,-1,419,292,267,100,155948156,153431506,tier1,CDS-5UTR,1315,NA,0.37795,155978365,153459030
BLCA,K4-A5RH-01A,CABYR,OSBPL1A,18,18,1,-1,8,2,1,0.019,21723377,21819346,tier2,Out-of-frame,2848,NA,0.35643,24143413,24239382
BLCA,K4-A5RH-01A,CCNL2,TYK2,1,19,-1,-1,2,3,2,0.5,1322093,10491352,tier3,3UTR-5UTR,3227,NA,0.37934,1386713,10380676
BLCA,K4-A5RH-01A,CHTOP,S100A13,1,1,1,-1,236,110,96,0.026,153609129,153604716,tier1,CDS-5UTR,3726,NA,0.3494,153636653,153632240
BLCA,K4-A5RH-01A,MPRIP,TOM1L2,17,17,1,-1,49,77,68,0.42,16946285,17766162,tier1,Out-of-frame,10632,NA,0.3696,17042971,17862848
BLCA,K4-A5RH-01A,RHOC,DDX21,1,10,-1,1,2,35,30,0.37,113243755,70723858,tier3,NA,14656,NA,NA,112701133,68964102
BLCA,K4-A5RH-01A,SREBF1,MED9,17,17,-1,1,25,14,12,0.008,17740041,17394593,tier1,Out-of-frame,16827,NA,NA,17836727,17491279
BLCA,K4-A5RH-01A,VIM,PTPRC,10,1,1,1,2,4,2,0.41,17279592,198710998,tier3,3UTR-CDS,19578,NA,NA,17237593,198741869
BLCA,K4-A5RI-01A,RWDD2B,MX2,21,21,-1,1,17,13,12,0.33,30391532,42762492,tier1,Out-of-frame,15202,NA,NA,29019211,41390565
BLCA,K4-A6MB-01A,DIEXF,TRAF3IP3,1,1,1,1,13,14,14,3.1,210004388,209946293,tier1,Out-of-frame,4826,NA,0.34627,209831043,209772948
BLCA,K4-A6MB-01A,FBXO42,SPATA21,1,1,-1,-1,4,10,10,0.003,16678750,16731599,tier1,5UTR-CDS,6358,NA,0.35482,16352255,16405104
BLCA,K4-A6MB-01A,GRID1,GLUD1,10,10,-1,-1,4,16,13,0.63,88123698,88836413,tier1,In-frame,7444,NA,0.36475,86363941,87076656
BLCA,K4-A6MB-01A,HOOK3,BAALC,8,8,1,1,104,74,65,0.025,42780772,104225147,tier1,Out-of-frame,7923,NA,0.35081,42925629,103212919
BLCA,K4-A6MB-01A,KAT6A,VPS13B,8,8,-1,1,2,1,1,0.11,41838364,100568678,tier2,Out-of-frame,8536,NA,0.34524,41980846,99556450
BLCA,K4-A6MB-01A,RNF19A,NCALD,8,8,-1,-1,6,2,1,0.17,101269288,102813898,tier4,3UTR-5UTR,14804,NA,NA,100257060,101801670
BLCA,K4-A83P-01A,ARL8B,ITPR1,3,3,1,1,15,14,12,0.31,5164273,4808214,tier1,In-frame,1407,NA,0.37826,5122588,4766530
BLCA,K4-A83P-01A,DIS3L2,ARMC9,2,2,1,1,2,1,1,0.026,232894790,232160911,tier3,Out-of-frame,4853,NA,0.35585,232030080,231296198
BLCA,K4-A83P-01A,MAP2K5,C15orf61,15,15,1,1,12,6,5,1.3,67893087,67818756,tier1,Out-of-frame,9842,NA,NA,67600749,67526418
BLCA,K4-A83P-01A,RFFL,RAD51D,17,17,-1,-1,9,3,3,0.64,33416124,33430563,tier1,5UTR-CDS,14592,NA,NA,35089105,35103544
BLCA,K4-A83P-01A,LUC7L,CORIN,16,4,-1,-1,7,6,6,0.03,249061,47667280,tier1,Out-of-frame,9673,NA,0.35965,199062,47665263
BLCA,K4-AAQO-01A,SMG7,GLT25D2,1,1,1,-1,4,1,1,0.32,183441784,183947654,tier2,5UTR-CDS,16426,NA,NA,183472649,183978520
BLCA,KQ-A41N-01A,KAT6B,ADK,10,10,1,1,5,3,2,0.61,76603236,76349040,tier1,In-frame,8542,NA,0.3377,74843478,74589282
BLCA,KQ-A41N-01A,NUP88,NLRP1,17,17,-1,-1,3,1,1,0.14,5319833,5440260,tier3,In-frame,11947,NA,0.35788,5416513,5536940
BLCA,KQ-A41N-01A,TRPM4,PPFIA3,19,19,1,1,17,8,8,0.056,49675365,49636258,tier2,Out-of-frame,18730,NA,NA,49172108,49133001
BLCA,KQ-A41O-01A,ARAP1,SLC22A8,11,11,-1,-1,7,9,4,1.6,72404370,62782455,tier1,CDS-5UTR,1176,NA,0.37968,72693325,63014983
BLCA,KQ-A41P-01A,DNMBP,KIAA0494,10,1,-1,-1,3,1,1,4.7,101648582,47144308,tier2,Out-of-frame,4999,NA,0.3674,99888825,46678636
BLCA,KQ-A41P-01A,NEIL3,AGA,4,4,1,-1,4,5,4,2.2,178272703,178352962,tier1,In-frame,11351,NA,0.34946,177351549,177431808
BLCA,KQ-A41P-01A,STARD7,LRRN1,2,3,-1,1,3,3,3,1.6,96858980,3886048,tier1,CDS-5UTR,17012,NA,NA,96193242,3844364
BLCA,KQ-A41Q-01A,FAR2,AGMO,12,7,1,-1,14,13,13,0.64,29474857,15240984,tier1,In-frame,6239,NA,0.33367,29321924,15201359
BLCA,KQ-A41Q-01A,PTK2,VPS13B,8,8,-1,1,3,7,6,0.059,141753329,100673582,tier1,In-frame,13788,NA,0.38783,140743230,99661354
BLCA,KQ-A41Q-01A,STXBP6,SLC44A4,14,6,-1,-1,5,9,9,0.11,25443871,31844859,tier1,In-frame,17153,NA,NA,24974665,31877082
BLCA,KQ-A41R-01A,JARID2,CDKAL1,6,6,1,1,12,7,6,0.67,15410596,20649524,tier1,Out-of-frame,8478,NA,0.36251,15410365,20649293
BLCA,KQ-A41S-01A,FKBP5,BYSL,6,6,-1,1,3,1,1,1.9,35656581,41897870,tier2,5UTR-CDS,6552,NA,0.37865,35688804,41930132
BLCA,LC-A66R-01A,FZD6,DPYS,8,8,1,-1,41,47,40,1,104312512,105405219,tier1,Out-of-frame,6861,NA,0.35081,103300284,104392991
BLCA,LC-A66R-01A,MANBAL,UBR5,20,8,1,-1,6,1,1,2.4,35929816,103341627,tier2,In-frame,9823,NA,0.37593,37301413,102329399
BLCA,LC-A66R-01A,PUM1,PQLC2,1,1,-1,1,6,1,1,0.034,31532051,19644094,tier4,CDS-5UTR,13948,NA,NA,31059204,19317600
BLCA,LC-A66R-01A,RSU1,BAALC,10,8,-1,1,22,19,16,0.032,16858972,104225147,tier1,In-frame,15161,NA,NA,16816973,103212919
BLCA,LT-A5Z6-01A,PLEKHG3,MTHFD1,14,14,1,1,8,4,4,0.86,65199619,64924932,tier1,Out-of-frame,13023,NA,0.3557,64732901,64458214
BLCA,LT-A5Z6-01A,FAM190A,BMP2K,4,4,1,1,10,9,9,0.41,91321280,79754736,tier1,Out-of-frame,6119,NA,0.36605,90400129,78833582
BLCA,LT-A5Z6-01A,NOVA1,FAM190A,14,4,-1,1,2,2,2,0.23,27064616,92519723,tier2,Out-of-frame,11677,NA,0.34198,26595410,91598572
BLCA,LT-A8JT-01A,ADAM9,MTL5,8,11,1,-1,6,4,3,1.7,38928922,68483407,tier1,In-frame,420,NA,0.3758,39071403,68715939
BLCA,PQ-A6FI-01A,RPS6KB1,VMP1,17,17,1,1,140,89,82,1.4,57992064,57915656,tier2,Out-of-frame,15090,NA,NA,59914703,59838295
BLCA,PQ-A6FI-01A,CLCN3,TDO2,4,4,1,1,15,20,19,1.4,170601358,156838547,tier1,Out-of-frame,3763,NA,0.36557,169680207,155917395
BLCA,PQ-A6FI-01A,NUP153,DTNBP1,6,6,-1,-1,459,205,195,0.11,17646298,15524900,tier1,In-frame,11910,NA,0.37198,17646067,15524669
BLCA,PQ-A6FN-01A,GNPAT,CAPN9,1,1,1,1,25,29,27,0.81,231386889,230923268,tier2,In-frame,7246,NA,0.35393,231251143,230787522
BLCA,PQ-A6FN-01A,MED15,C22orf25,22,22,1,1,6,5,5,0.022,20922918,20024283,tier1,CDS-5UTR,10195,NA,NA,20568631,20036760
BLCA,R3-A69X-01A,UQCRC2,CYB5RL,16,1,1,-1,14,16,14,1.1,21968887,54645025,tier1,In-frame,19290,NA,NA,21957566,54179352
BLCA,S5-A6DX-01A,ASAP1,ADCY2,8,5,-1,1,2,2,1,0.41,131226802,7784478,tier3,Out-of-frame,1476,NA,0.37614,130214556,7784365
BLCA,S5-A6DX-01A,FAM53A,C1orf201,4,1,-1,-1,2,3,3,0.28,1670394,24710493,tier3,In-frame,6185,NA,NA,1668667,24384003
BLCA,S5-A6DX-01A,FRS2,LACRT,12,12,1,-1,34,10,10,1.6,69864310,55027017,tier1,5UTR-CDS,6759,NA,0.37937,69470530,54633233
BLCA,S5-A6DX-01A,GRN,ZC3H3,17,8,1,-1,99,80,73,0.27,42428168,144567117,tier1,NA,7475,NA,0.36422,44350800,143484947
BLCA,SY-A9G0-01A,TRAF2,CACNA1B,9,9,1,1,2,2,2,0.24,139794972,140967940,tier3,In-frame,18542,NA,NA,136900520,138073488
BLCA,SY-A9G0-01A,TRIM35,CCNB1IP1,8,14,-1,-1,10,5,5,0.07,27155981,20797532,tier1,CDS-5UTR,18637,NA,NA,27298464,20329373
BLCA,SY-A9G5-01A,TBC1D8,RNF149,2,2,-1,-1,4,4,4,4,101638143,101898519,tier1,Out-of-frame,17505,NA,NA,101021681,101282057
BLCA,SY-A9G5-01A,EXOC2,OOEP,6,6,-1,-1,32,20,19,100,693019,74079108,tier1,5UTR-CDS,5897,NA,0.35595,693019,73369385
BLCA,UY-A78K-01A,DGCR8,COMT,22,22,1,1,52,27,23,0.032,20067906,19950050,tier1,5UTR-CDS,4742,NA,0.35654,20080383,19962527
BLCA,UY-A78K-01A,FAM73B,NUP188,9,9,1,1,5,4,1,0.22,131831408,131755476,tier4,In-frame,6204,NA,0.34208,129069129,128993197
BLCA,UY-A78K-01A,MGAT4A,C2orf55,2,2,-1,-1,5,7,3,1.2,99342702,99463273,tier1,CDS-5UTR,10311,NA,NA,98726239,98846810
BLCA,UY-A78K-01A,MKRN2,PPARG,3,3,1,1,17,14,12,0.2,12598675,12353879,tier1,CDS-5UTR,10437,NA,0.38552,12557176,12312380
BLCA,UY-A78K-01A,RPUSD3,TMEM111,3,3,-1,-1,11,12,9,100,9883667,10019130,tier1,In-frame,15112,NA,NA,9841983,9977446
BLCA,UY-A78K-01A,SLC22A23,C6orf145,6,6,-1,-1,2,2,1,1.8,3410422,3738382,tier3,In-frame,16065,NA,NA,3410188,3738148
BLCA,UY-A78K-01A,MAP3K1,OR4N2,5,14,1,1,4,5,4,2.8,56155742,20201528,tier1,NA,9848,NA,0.37794,56859915,19733369
BLCA,UY-A78L-01A,RNF169,POLD3,11,11,1,1,3,2,2,0.007,74528759,74379822,tier1,NA,14783,NA,NA,74817714,74668777
BLCA,UY-A78L-01A,RNF41,MSRB3,12,12,-1,1,4,2,2,0.042,56607742,65702309,tier1,CDS-5UTR,14844,NA,NA,56213958,65308529
BLCA,UY-A78M-01A,UBR5,KB-1980E6.3,8,8,-1,1,15,20,16,0.74,103424401,103541539,tier1,In-frame,19151,NA,NA,102412173,102529311
BLCA,UY-A78M-01A,UBR5,ODF1,8,8,-1,1,98,141,129,0.11,103424401,103572680,tier1,In-frame,19152,NA,NA,102412173,102560452
BLCA,UY-A78N-01A,EPS15,CCDC18,1,1,-1,1,3,5,5,0.074,51934145,93676359,tier1,In-frame,5697,NA,0.37266,51468473,93210802
BLCA,UY-A78N-01A,FAF1,CHIA,1,1,-1,1,10,6,6,0.88,51121114,111857162,tier1,Out-of-frame,5973,NA,0.36778,50655442,111314540
BLCA,UY-A78N-01A,ITCH,ARFGAP1,20,20,1,1,13,13,11,0.065,33069011,61914171,tier1,Out-of-frame,8354,NA,0.37656,34481206,63282819
BLCA,UY-A78N-01A,MYCBP2,CPB2,13,13,-1,-1,17,23,18,0.075,77862296,46638876,tier1,In-frame,10879,NA,0.37045,77288161,46064741
BLCA,UY-A78N-01A,PRUNE,LCE2A,1,1,1,1,63,52,44,0.75,150990380,152671358,tier1,CDS-5UTR,13665,NA,0.35648,151017904,152698882
BLCA,UY-A78N-01A,PRUNE,LCE4A,1,1,1,1,20,25,24,0.25,150990380,152680636,tier1,CDS-5UTR,13666,NA,0.35486,151017904,152708160
BLCA,UY-A78O-01A,VPS13B,C8orf56,8,8,1,-1,4,3,3,0.85,100847966,104145597,tier1,CDS-5UTR,19611,NA,NA,99835738,103133369
BLCA,UY-A8OB-01A,PVRL2,IGSF23,19,19,1,1,69,54,46,1.2,45368917,45138701,tier1,Out-of-frame,13974,NA,NA,44865660,44635401
BLCA,UY-A8OB-01A,KPNA3,MLNR,13,13,-1,1,10,2,1,0.77,50366574,49796176,tier2,Out-of-frame,9099,NA,0.37068,49792438,49222040
BLCA,UY-A8OC-01A,HGSNAT,FUT10,8,8,1,-1,89,56,53,0.21,43037403,33230322,tier1,In-frame,7736,NA,0.33101,43182260,33372804
BLCA,UY-A9PB-01A,CREBBP,ADCY9,16,16,-1,-1,4,2,2,0.07,3929833,4016967,tier1,Out-of-frame,4199,NA,0.38677,3879832,3966966
BLCA,UY-A9PB-01A,SH3PXD2A,OBFC1,10,10,-1,-1,44,37,35,0.047,105614953,105670380,tier1,Out-of-frame,15837,NA,NA,103855195,103910622
BLCA,UY-A9PB-01A,ZFC3H1,PPFIA2,12,12,-1,-1,2,1,1,0.4,72036216,81851645,tier3,Out-of-frame,20253,NA,NA,71642436,81457866
BLCA,UY-A9PD-01A,SLFN11,CCL14,17,17,-1,-1,98,52,49,0.022,33693966,34310924,tier1,5UTR-CDS,16317,NA,NA,35366947,35983888
BLCA,UY-A9PD-01A,CDK12,TAF15,17,17,1,1,20,19,18,0.18,37682569,34169371,tier1,In-frame,3410,NA,0.37236,39526316,35842367
BLCA,UY-A9PD-01A,DHX8,FMO5,17,1,1,-1,31,20,19,1.4,41561553,146661828,tier1,In-frame,4807,NA,0.34931,43484185,147190249
BLCA,UY-A9PD-01A,PAN3,XPO4,13,13,1,-1,16,6,6,0.14,28794515,21358058,tier1,Out-of-frame,12236,NA,0.3447,28220378,20783919
BLCA,UY-A9PD-01A,PHF12,PIPOX,17,17,-1,1,5,8,6,0.41,27277083,27371877,tier1,Out-of-frame,12700,NA,0.36467,28950065,29044859
BLCA,UY-A9PD-01A,PSMD11,DPRX,17,19,1,1,15,12,11,0.81,30781637,54137785,tier1,Out-of-frame,13725,NA,0.36461,32454619,53634531
BLCA,UY-A9PE-01A,CEP350,TOR1AIP1,1,1,1,1,4,1,1,0.003,179966310,179869261,tier3,In-frame,3554,NA,0.35764,179997175,179900126
BLCA,UY-A9PE-01A,CCDC88C,C14orf159,14,14,-1,1,10,13,13,0.82,91760517,91681749,tier1,Out-of-frame,3184,NA,NA,91294173,91215405
BLCA,UY-A9PE-01A,CERS6,PSMD14,2,2,1,1,3,2,2,0.48,169574488,162223989,tier1,Out-of-frame,3578,NA,0.34586,168717978,161367478
BLCA,UY-A9PE-01A,DOCK1,RBFOX2,10,22,1,-1,3,1,1,5.9,129160476,36334945,tier2,In-frame,5025,NA,0.37093,127362212,35938897
BLCA,UY-A9PE-01A,FBXL2,KIF9,3,3,1,-1,6,4,4,5.6,33339454,47299050,tier1,5UTR-CDS,6299,NA,0.35921,33297962,47257560
BLCA,UY-A9PE-01A,PPIF,SNX31,10,8,1,-1,36,14,14,100,81111339,101648239,tier1,Out-of-frame,13292,NA,0.35094,79351583,100636011
BLCA,UY-A9PE-01A,SMARCB1,SNW1,22,14,1,-1,12,7,7,0.13,24129449,78201355,tier1,In-frame,16383,NA,NA,23787262,77735012
BLCA,UY-A9PE-01A,TTC23L,CACNA2D3,5,3,1,1,2,1,1,0.18,34850413,54615830,tier2,Out-of-frame,18835,NA,NA,34850308,54581803
BLCA,UY-A9PH-01A,LETMD1,LARP4,12,12,1,1,4,3,3,0.49,51445990,50847243,tier1,In-frame,9303,NA,0.33631,51052207,50453460
BLCA,UY-A9PH-01A,CTTN,SHANK2,11,11,1,-1,4,7,7,0.3,70256066,70336492,tier1,In-frame,4422,NA,0.38277,70409960,70490387
BLCA,UY-A9PH-01A,PPFIA1,SHANK2,11,11,1,-1,21,17,15,0.48,70118542,70666787,tier1,Out-of-frame,13265,NA,0.37084,70272436,70820682
BLCA,XF-A8HC-01A,PIP4K2A,ITFG1,10,16,-1,-1,2,1,1,1.6,22839588,47196575,tier2,Out-of-frame,12863,NA,0.35793,22550659,47162664
BLCA,XF-A8HC-01A,SYNRG,SHC2,17,19,-1,-1,14,10,8,2.5,35945433,425231,tier1,Out-of-frame,17265,NA,NA,37585325,425231
BLCA,XF-A8HD-01A,C10orf18,AKR1E2,10,10,1,1,3,5,5,0.48,5727138,4872867,tier1,5UTR-CDS,2310,NA,NA,5685175,4830675
BLCA,XF-A8HD-01A,ANKRD26,MCM10,10,10,-1,1,19,9,9,1.1,27389014,13251091,tier1,In-frame,974,NA,0.36631,27100085,13209091
BLCA,XF-A8HD-01A,ATP9A,EPB41L1,20,20,-1,1,2,3,2,0.057,50329505,34763473,tier4,CDS-5UTR,1774,NA,0.36888,51712966,36175551
BLCA,XF-A8HD-01A,EPB41L1,ATP9A,20,20,1,-1,10,7,7,0.057,34700402,50346517,tier1,5UTR-CDS,5635,NA,0.36888,36112480,51729978
BLCA,XF-A8HD-01A,NEBL,CAMK1D,10,10,-1,1,5,3,3,2.7,21461312,12595224,tier1,In-frame,11315,NA,0.37421,21172383,12553225
BLCA,XF-A8HD-01A,VGLL4,UPF2,3,10,-1,-1,254,319,293,0.017,11744445,12021164,tier1,Out-of-frame,19566,NA,NA,11702971,11979165
BLCA,XF-A8HG-01A,ADAM9,UNC5D,8,8,1,1,7,6,5,0.34,38884329,35406810,tier1,Out-of-frame,426,NA,0.37985,39026810,35549292
BLCA,XF-A8HG-01A,PCGF3,SPATA24,4,5,1,-1,4,5,5,2.2,699759,138738382,tier1,5UTR-CDS,12401,NA,0.33925,705970,139402693
BLCA,XF-A8HG-01A,RALGAPA2,C20orf194,20,20,-1,-1,55,28,27,0.62,20634174,3251208,tier1,In-frame,14220,NA,NA,20653530,3270562
BLCA,XF-A8HH-01A,ANKRD46,NCALD,8,8,-1,-1,6,20,19,1.5,101571939,102705124,tier1,5UTR-CDS,996,NA,0.36544,100559711,101692896
BLCA,XF-A8HH-01A,XPO1,C2orf74,2,2,-1,1,7,2,2,0.15,61749746,61389977,tier1,CDS-5UTR,19958,NA,NA,61522611,61162842
BLCA,XF-A9SH-01A,CNOT2,ZDHHC17,12,12,1,1,12,9,8,0.89,70672054,77220688,tier1,In-frame,3936,NA,0.36459,70278274,76826908
BLCA,XF-A9SH-01A,FBXO21,CHPT1,12,12,-1,1,3,3,3,1.2,117593596,102107868,tier1,Out-of-frame,6343,NA,0.34857,117155791,101714090
BLCA,XF-A9SI-01A,ILF3,ATG4D,19,19,1,1,14,33,30,0.42,10765163,10662573,tier1,5UTR-CDS,8206,NA,0.37242,10654487,10551897
BLCA,XF-A9SK-01A,CMTM7,CMTM8,3,3,1,1,5,2,2,1,32433557,32409364,tier1,In-frame,3896,NA,0.33704,32392065,32367872
BLCA,XF-A9SK-01A,ATG7,FHIT,3,3,1,-1,2,1,1,0.29,11406208,59908140,tier2,In-frame,1641,NA,0.3604,11364734,59922414
BLCA,XF-A9SK-01A,FAM38A,PMFBP1,16,16,-1,-1,4,5,5,0.32,88851309,72153988,tier1,Out-of-frame,6172,NA,0.33566,88784901,72120089
BLCA,XF-A9SK-01A,GRB7,CD300E,17,17,1,-1,2,1,1,3.4,37901237,72610172,tier3,Out-of-frame,7413,NA,0.38261,39744984,74614033
BLCA,XF-A9SK-01A,PROSC,CHMP1A,8,16,1,-1,6,13,13,0.23,37623873,89713739,tier1,Out-of-frame,13589,NA,0.3522,37766355,89647331
BLCA,XF-A9SK-01A,ROBO1,LPHN3,3,4,-1,1,3,2,2,0.15,78734896,62679527,tier1,In-frame,14867,NA,NA,78685746,61813809
BLCA,XF-A9SK-01A,ZNF276,VAC14,16,16,1,-1,5,1,1,0.012,89795726,70732714,tier2,In-frame,20432,NA,NA,89729318,70698811
BLCA,XF-A9SM-01A,HUWE1,BICD1,X,12,-1,1,14,8,8,0.031,53651556,32520604,tier1,Out-of-frame,8038,NA,0.37097,53624595,32367670
BLCA,XF-A9SP-01A,LARP1B,C4orf29,4,4,1,1,3,3,1,0.95,129012667,128956917,tier3,In-frame,9232,NA,NA,128091512,128035762
BLCA,XF-A9SP-01A,TAB2,UST,6,6,1,1,2,2,2,2.4,149700654,149394969,tier3,In-frame,17291,NA,NA,149379518,149073833
BLCA,XF-A9SP-01A,CRISPLD1,LY96,8,8,1,1,2,1,1,0.32,75926337,74922236,tier3,Out-of-frame,4227,NA,0.35229,75014102,74010001
BLCA,XF-A9ST-01A,ANKRD39,FAM178B,2,2,-1,-1,4,3,3,1.2,97519138,97613639,tier1,In-frame,990,NA,0.35242,96853401,96947902
BLCA,XF-A9ST-01A,FDFT1,GATA4,8,8,1,1,48,22,19,0.92,11679387,11614444,tier1,Out-of-frame,6410,NA,0.37898,11821878,11756935
BLCA,XF-A9ST-01A,TNFAIP8,DMXL1,5,5,1,1,4,5,4,1.4,118604602,118576114,tier1,5UTR-CDS,18332,NA,NA,119268907,119240419
BLCA,XF-A9ST-01A,UQCRC1,PRKAR2A,3,3,-1,-1,60,34,30,1.6,48637496,48785373,tier1,CDS-3UTR,19288,NA,NA,48600063,48747940
BLCA,XF-A9ST-01A,ARMC8,CACNA2D2,3,3,1,-1,5,3,3,0.27,138007962,50513630,tier1,Out-of-frame,1417,NA,0.34704,138289120,50476199
BLCA,XF-A9ST-01A,TEAD1,CD47,11,3,1,-1,67,63,57,0.48,12697108,107779699,tier1,5UTR-CDS,17627,NA,NA,12675561,108060852
BLCA,XF-A9SU-01A,TMEM87B,MERTK,2,2,1,1,11,13,13,0.21,112834859,112765960,tier1,In-frame,18062,NA,NA,112077282,112008383
BLCA,XF-A9SU-01A,STIM1,RP11-150O12.1,11,8,1,-1,5,5,5,0.36,3877639,37279087,tier1,CDS-3UTR,17041,NA,NA,3856409,37421569
BLCA,XF-A9SV-01A,NOC2L,TCEB3,1,1,-1,1,4,2,2,0.51,891303,24086002,tier1,Out-of-frame,11629,NA,0.35925,955923,23759512
BLCA,XF-A9SV-01A,SNRNP70,CDC42EP5,19,19,1,-1,89,59,51,100,49589818,54982906,tier1,CDS-5UTR,16504,NA,NA,49086561,54471685
BLCA,XF-A9SW-01A,STARD3,PPP1R1B,17,17,1,1,3,3,3,0.19,37793484,37785423,tier1,5UTR-CDS,17009,NA,NA,39637231,39629170
BLCA,XF-A9SY-01A,ANKRD11,STARD10,16,11,-1,-1,2,1,1,0.65,89484692,72492339,tier4,5UTR-5UTR,956,NA,0.37494,89418284,72781294
BLCA,XF-A9SY-01A,DAP3,TIPRL,1,1,1,1,34,15,15,0.12,155679615,168160607,tier1,In-frame,4549,NA,0.35456,155709824,168191369
BLCA,XF-A9SY-01A,NR6A1,DEAF1,9,11,-1,-1,6,2,2,2.1,127533299,654051,tier1,Out-of-frame,11729,NA,0.36533,124771020,654051
BLCA,XF-A9SZ-01A,LDLRAP1,TMEM57,1,1,1,1,44,18,18,0.12,25870277,25824755,tier1,In-frame,9285,NA,0.35984,25543786,25498264
BLCA,XF-A9SZ-01A,EP400,TMPRSS12,12,12,1,1,11,4,4,0.035,132434581,51237625,tier1,5UTR-CDS,5624,NA,0.36977,131950036,50843842
BLCA,XF-A9T0-01A,AHR,TSPAN13,7,7,1,1,76,50,44,0.003,17338953,16815836,tier1,Out-of-frame,701,NA,0.36974,17299329,16776211
BLCA,XF-A9T0-01A,KIAA0907,ARHGEF2,1,1,-1,-1,23,20,20,0.2,155893418,155936270,tier1,In-frame,8808,NA,0.37686,155923627,155966479
BLCA,XF-A9T0-01A,CFDP1,WWOX,16,16,-1,1,85,81,77,100,75428988,79245505,tier1,Out-of-frame,3590,NA,0.37675,75395090,79211608
BLCA,XF-A9T3-01A,GON4L,ARHGEF2,1,1,-1,-1,2,2,1,0.35,155823067,155922619,tier3,In-frame,7288,NA,0.38251,155853276,155952828
BLCA,XF-A9T3-01A,GOLGA3,RTN2,12,19,-1,-1,2,3,3,0.018,133353220,45998397,tier3,Out-of-frame,7261,NA,0.34944,132776634,45495139
